precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
11006,11006,11006,11,საგარეჯო,6,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,1387,537,157,430,0.3872,0.1132,0.31,23,0.0428
11006,11006,11006,11,საგარეჯო,6,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,3,0.0058,1387,537,157,430,0.3872,0.1132,0.31,23,0.0428
11006,11006,11006,11,საგარეჯო,6,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,8,0.0156,1387,537,157,430,0.3872,0.1132,0.31,23,0.0428
11007,11007,11007,11,საგარეჯო,7,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,133,0.5135,935,272,93,226,0.2909,0.0995,0.2417,13,0.0478
11007,11007,11007,11,საგარეჯო,7,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,106,0.4093,935,272,93,226,0.2909,0.0995,0.2417,13,0.0478
11007,11007,11007,11,საგარეჯო,7,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0039,935,272,93,226,0.2909,0.0995,0.2417,13,0.0478
11007,11007,11007,11,საგარეჯო,7,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,2,0.0077,935,272,93,226,0.2909,0.0995,0.2417,13,0.0478
11007,11007,11007,11,საგარეჯო,7,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,17,0.0656,935,272,93,226,0.2909,0.0995,0.2417,13,0.0478
11008,11008,11008,11,საგარეჯო,8,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,261,0.7092,1202,381,116,290,0.317,0.0965,0.2413,13,0.0341
11008,11008,11008,11,საგარეჯო,8,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,91,0.2473,1202,381,116,290,0.317,0.0965,0.2413,13,0.0341
11008,11008,11008,11,საგარეჯო,8,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,2,0.0054,1202,381,116,290,0.317,0.0965,0.2413,13,0.0341
11008,11008,11008,11,საგარეჯო,8,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,0,0,1202,381,116,290,0.317,0.0965,0.2413,13,0.0341
11008,11008,11008,11,საგარეჯო,8,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,14,0.038,1202,381,116,290,0.317,0.0965,0.2413,13,0.0341
11009,11009,11009,11,საგარეჯო,9,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,261,0.7352,988,368,93,277,0.3725,0.0941,0.2804,13,0.0353
11009,11009,11009,11,საგარეჯო,9,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,81,0.2282,988,368,93,277,0.3725,0.0941,0.2804,13,0.0353
11009,11009,11009,11,საგარეჯო,9,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0028,988,368,93,277,0.3725,0.0941,0.2804,13,0.0353
11009,11009,11009,11,საგარეჯო,9,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,7,0.0197,988,368,93,277,0.3725,0.0941,0.2804,13,0.0353
11009,11009,11009,11,საგარეჯო,9,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,5,0.0141,988,368,93,277,0.3725,0.0941,0.2804,13,0.0353
11010,11010,11010,11,საგარეჯო,10,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,151,0.484,1045,339,97,274,0.3244,0.0928,0.2622,27,0.0796
11010,11010,11010,11,საგარეჯო,10,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,142,0.4551,1045,339,97,274,0.3244,0.0928,0.2622,27,0.0796
11010,11010,11010,11,საგარეჯო,10,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,4,0.0128,1045,339,97,274,0.3244,0.0928,0.2622,27,0.0796
11010,11010,11010,11,საგარეჯო,10,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,2,0.0064,1045,339,97,274,0.3244,0.0928,0.2622,27,0.0796
11010,11010,11010,11,საგარეჯო,10,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,13,0.0417,1045,339,97,274,0.3244,0.0928,0.2622,27,0.0796
11011,11011,11011,11,საგარეჯო,11,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,172,0.5375,813,331,94,273,0.4071,0.1156,0.3358,11,0.0332
11011,11011,11011,11,საგარეჯო,11,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,141,0.4406,813,331,94,273,0.4071,0.1156,0.3358,11,0.0332
