"district_id","party_id","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"68","gd","გოგა გულორდავა",2,6937,0.489038,28933,14576,4777,11490,28709,224,0.503785,0.165106,0.397124,391,0.026825
"68","unm","გიორგი ხარჩილავა",2,7248,0.510962,28933,14576,4777,11490,28709,224,0.503785,0.165106,0.397124,391,0.026825
"69","gd","დათო გოგუა",2,6296,0.50885,21654,12783,4281,10156,21527,127,0.59033,0.1977,0.469013,411,0.032152
"69","unm","ბადრი ქარჩავა",2,6077,0.49115,21654,12783,4281,10156,21527,127,0.59033,0.1977,0.469013,411,0.032152
"7","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"7","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"70","gd","ბექა ვაჭარაძე",2,11345,0.573501,41460,20424,7349,17053,41028,432,0.492619,0.177255,0.411312,634,0.031042
"70","unm","გიორგი უგულავა",2,8437,0.426499,41460,20424,7349,17053,41028,432,0.492619,0.177255,0.411312,634,0.031042
"79","gd","არჩილ ჩიქოვანი",2,38237,0.51018,149380,77035,27153,62421,147964,1416,0.515698,0.181771,0.417867,2070,0.026871
"79","unm","გიორგი კირთაძე",2,36711,0.48982,149380,77035,27153,62421,147964,1416,0.515698,0.181771,0.417867,2070,0.026871
"8","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"8","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"80","gakharia","ელგუჯა ნაკაშიძე",1,903,0.082745,15732,11328,3274,8375,15642,90,0.720061,0.208111,0.532354,383,0.03381
"80","gd","როლანდი ბერიძე",1,6240,0.571795,15732,11328,3274,8375,15642,90,0.720061,0.208111,0.532354,383,0.03381
"80","unm","რამინ ბერიძე",1,3770,0.34546,15732,11328,3274,8375,15642,90,0.720061,0.208111,0.532354,383,0.03381
"81","gakharia","ირაკლი ბერიძე",1,3135,0.084597,67890,38255,13120,29643,67338,552,0.563485,0.193254,0.436633,1135,0.029669
"81","gd","ლევან ზოიძე",1,19344,0.521993,67890,38255,13120,29643,67338,552,0.563485,0.193254,0.436633,1135,0.029669
"81","unm","ბონდო თედორაძე",1,14579,0.39341,67890,38255,13120,29643,67338,552,0.563485,0.193254,0.436633,1135,0.029669
"82","gakharia","შალვა გოგიტიძე",1,820,0.084267,15213,9986,3419,7753,15076,137,0.656412,0.224742,0.50963,250,0.025035
"82","gd","ომარ ტაკიძე",1,5481,0.563251,15213,9986,3419,7753,15076,137,0.656412,0.224742,0.50963,250,0.025035
"82","patriots","გიორგი ტარიელაძე",1,146,0.015004,15213,9986,3419,7753,15076,137,0.656412,0.224742,0.50963,250,0.025035
"82","unm","როინ ზოიძე",1,3284,0.337478,15213,9986,3419,7753,15076,137,0.656412,0.224742,0.50963,250,0.025035
"83","gd","ზაზა დიასამიძე",2,13397,0.55023,44734,24817,9285,19423,44423,311,0.554768,0.20756,0.434189,466,0.018777
"83","unm","მიშა ბოლქვაძე",2,10951,0.44977,44734,24817,9285,19423,44423,311,0.554768,0.20756,0.434189,466,0.018777
"84","gakharia","გია აბულაძე",1,1360,0.093355,24252,15020,4255,11471,24149,103,0.61933,0.175449,0.472992,438,0.029161
"84","gd","ვახტანგ ბერიძე",1,7905,0.542628,24252,15020,4255,11471,24149,103,0.61933,0.175449,0.472992,438,0.029161
"84","unm","გოგიტა სოლომონიძე",1,5303,0.364017,24252,15020,4255,11471,24149,103,0.61933,0.175449,0.472992,438,0.029161
