"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
59061,59,"gd","41","გიორგი ჭიღვარია",188,0.843049,1301,227,77,169,0.174481,0.059185,0.1299,4,0.017621
59061,59,"unm","5","გრიგოლ ვაშაძე",35,0.156951,1301,227,77,169,0.174481,0.059185,0.1299,4,0.017621
59062,59,"gd","41","გიორგი ჭიღვარია",177,0.786667,1318,226,70,164,0.171472,0.053111,0.124431,1,0.004425
59062,59,"unm","5","გრიგოლ ვაშაძე",48,0.213333,1318,226,70,164,0.171472,0.053111,0.124431,1,0.004425
59063,59,"gd","41","გიორგი ჭიღვარია",231,0.833935,1429,285,82,231,0.19944,0.057383,0.161652,8,0.02807
59063,59,"unm","5","გრიგოლ ვაშაძე",46,0.166065,1429,285,82,231,0.19944,0.057383,0.161652,8,0.02807
59064,59,"gd","41","გიორგი ჭიღვარია",128,0.8,1493,168,53,125,0.112525,0.035499,0.083724,8,0.047619
59064,59,"unm","5","გრიგოლ ვაშაძე",32,0.2,1493,168,53,125,0.112525,0.035499,0.083724,8,0.047619
59065,59,"gd","41","გიორგი ჭიღვარია",101,0.821138,1501,132,51,107,0.087941,0.033977,0.071286,9,0.068182
59065,59,"unm","5","გრიგოლ ვაშაძე",22,0.178862,1501,132,51,107,0.087941,0.033977,0.071286,9,0.068182
59066,59,"gd","41","გიორგი ჭიღვარია",203,0.852941,1412,243,78,173,0.172096,0.055241,0.122521,5,0.020576
59066,59,"unm","5","გრიგოლ ვაშაძე",35,0.147059,1412,243,78,173,0.172096,0.055241,0.122521,5,0.020576
59067,59,"gd","41","გიორგი ჭიღვარია",122,0.877698,1014,153,54,115,0.150888,0.053254,0.113412,14,0.091503
59067,59,"unm","5","გრიგოლ ვაშაძე",17,0.122302,1014,153,54,115,0.150888,0.053254,0.113412,14,0.091503
59068,59,"gd","41","გიორგი ჭიღვარია",141,0.839286,1302,171,57,137,0.131336,0.043779,0.105223,3,0.017544
59068,59,"unm","5","გრიგოლ ვაშაძე",27,0.160714,1302,171,57,137,0.131336,0.043779,0.105223,3,0.017544
59069,59,"gd","41","გიორგი ჭიღვარია",100,0.840336,946,125,64,90,0.132135,0.067653,0.095137,6,0.048
59069,59,"unm","5","გრიგოლ ვაშაძე",19,0.159664,946,125,64,90,0.132135,0.067653,0.095137,6,0.048
59070,59,"gd","41","გიორგი ჭიღვარია",129,0.801242,1106,169,90,138,0.152803,0.081374,0.124774,8,0.047337
59070,59,"unm","5","გრიგოლ ვაშაძე",32,0.198758,1106,169,90,138,0.152803,0.081374,0.124774,8,0.047337
59071,59,"gd","41","გიორგი ჭიღვარია",123,0.82,1240,156,64,112,0.125806,0.051613,0.090323,6,0.038462
59071,59,"unm","5","გრიგოლ ვაშაძე",27,0.18,1240,156,64,112,0.125806,0.051613,0.090323,6,0.038462
59072,59,"gd","41","გიორგი ჭიღვარია",261,0.861386,1278,317,100,167,0.248044,0.078247,0.130673,14,0.044164
59072,59,"unm","5","გრიგოლ ვაშაძე",42,0.138614,1278,317,100,167,0.248044,0.078247,0.130673,14,0.044164
59073,59,"gd","41","გიორგი ჭიღვარია",214,0.877049,1451,260,83,185,0.179187,0.057202,0.127498,16,0.061538
59073,59,"unm","5","გრიგოლ ვაშაძე",30,0.122951,1451,260,83,185,0.179187,0.057202,0.127498,16,0.061538
59074,59,"gd","41","გიორგი ჭიღვარია",170,0.858586,1292,212,108,177,0.164087,0.083591,0.136997,14,0.066038
59074,59,"unm","5","გრიგოლ ვაშაძე",28,0.141414,1292,212,108,177,0.164087,0.083591,0.136997,14,0.066038
59076,59,"gd","41","გიორგი ჭიღვარია",163,0.88587,1294,192,60,160,0.148377,0.046368,0.123648,8,0.041667
59076,59,"unm","5","გრიგოლ ვაშაძე",21,0.11413,1294,192,60,160,0.148377,0.046368,0.123648,8,0.041667
59077,59,"gd","41","გიორგი ჭიღვარია",206,0.858333,1447,251,86,211,0.173462,0.059433,0.145819,11,0.043825
