precinct_id,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
101022,101022,smd_only_42,სალომე ზურაბიშვილი,446,0.736,1541,621,145,452,0.403,0.0941,0.2933,15,0.0242
101023,101023,unm,ნიკოლოზი რურუა,241,0.3766,1439,655,191,528,0.4552,0.1327,0.3669,15,0.0229
101023,101023,smd_only_42,სალომე ზურაბიშვილი,399,0.6234,1439,655,191,528,0.4552,0.1327,0.3669,15,0.0229
101024,101024,unm,ნიკოლოზი რურუა,245,0.3577,1581,696,214,575,0.4402,0.1354,0.3637,11,0.0158
101024,101024,smd_only_42,სალომე ზურაბიშვილი,440,0.6423,1581,696,214,575,0.4402,0.1354,0.3637,11,0.0158
101025,101025,unm,ნიკოლოზი რურუა,178,0.3947,1093,457,127,389,0.4181,0.1162,0.3559,6,0.0131
101025,101025,smd_only_42,სალომე ზურაბიშვილი,273,0.6053,1093,457,127,389,0.4181,0.1162,0.3559,6,0.0131
101026,101026,unm,ნიკოლოზი რურუა,183,0.3228,1506,577,144,472,0.3831,0.0956,0.3134,10,0.0173
101026,101026,smd_only_42,სალომე ზურაბიშვილი,384,0.6772,1506,577,144,472,0.3831,0.0956,0.3134,10,0.0173
101027,101027,unm,ნიკოლოზი რურუა,162,0.2543,1562,644,158,484,0.4123,0.1012,0.3099,7,0.0109
101027,101027,smd_only_42,სალომე ზურაბიშვილი,475,0.7457,1562,644,158,484,0.4123,0.1012,0.3099,7,0.0109
101028,101028,unm,ნიკოლოზი რურუა,165,0.2674,1368,628,151,508,0.4591,0.1104,0.3713,11,0.0175
101028,101028,smd_only_42,სალომე ზურაბიშვილი,452,0.7326,1368,628,151,508,0.4591,0.1104,0.3713,11,0.0175
101032,101032,unm,ნიკოლოზი რურუა,310,0.3909,1608,815,217,637,0.5068,0.135,0.3961,21,0.0258
101032,101032,smd_only_42,სალომე ზურაბიშვილი,483,0.6091,1608,815,217,637,0.5068,0.135,0.3961,21,0.0258
101033,101033,unm,ნიკოლოზი რურუა,201,0.3729,1353,546,122,424,0.4035,0.0902,0.3134,7,0.0128
101033,101033,smd_only_42,სალომე ზურაბიშვილი,338,0.6271,1353,546,122,424,0.4035,0.0902,0.3134,7,0.0128
104001,104001,unm,ნიკოლოზი რურუა,159,0.269,1588,609,150,465,0.3835,0.0945,0.2928,18,0.0296
104001,104001,smd_only_42,სალომე ზურაბიშვილი,432,0.731,1588,609,150,465,0.3835,0.0945,0.2928,18,0.0296
201029,201029,unm,ელენე ხოშტარია,160,0.261,1624,619,172,525,0.3812,0.1059,0.3233,6,0.0097
201029,201029,gd,ბიძინა გეგიძე,453,0.739,1624,619,172,525,0.3812,0.1059,0.3233,6,0.0097
201030,201030,unm,ელენე ხოშტარია,114,0.2312,1226,505,93,417,0.4119,0.0759,0.3401,12,0.0238
201030,201030,gd,ბიძინა გეგიძე,379,0.7688,1226,505,93,417,0.4119,0.0759,0.3401,12,0.0238
201031,201031,unm,ელენე ხოშტარია,122,0.2387,1445,526,107,437,0.364,0.074,0.3024,15,0.0285
201031,201031,gd,ბიძინა გეგიძე,389,0.7613,1445,526,107,437,0.364,0.074,0.3024,15,0.0285
202001,202001,unm,ელენე ხოშტარია,139,0.2618,1298,540,145,420,0.416,0.1117,0.3236,9,0.0167
202001,202001,gd,ბიძინა გეგიძე,392,0.7382,1298,540,145,420,0.416,0.1117,0.3236,9,0.0167
202002,202002,unm,ელენე ხოშტარია,143,0.2407,1419,605,136,441,0.4264,0.0958,0.3108,12,0.0198
202002,202002,gd,ბიძინა გეგიძე,451,0.7593,1419,605,136,441,0.4264,0.0958,0.3108,12,0.0198
202003,202003,unm,ელენე ხოშტარია,145,0.2276,1539,649,150,493,0.4217,0.0975,0.3203,12,0.0185
202003,202003,gd,ბიძინა გეგიძე,492,0.7724,1539,649,150,493,0.4217,0.0975,0.3203,12,0.0185
202004,202004,unm,ელენე ხოშტარია,116,0.2086,1443,569,108,444,0.3943,0.0748,0.3077,13,0.0228
202004,202004,gd,ბიძინა გეგიძე,440,0.7914,1443,569,108,444,0.3943,0.0748,0.3077,13,0.0228
202005,202005,unm,ელენე ხოშტარია,135,0.1959,1604,707,150,570,0.4408,0.0935,0.3554,18,0.0255
202005,202005,gd,ბიძინა გეგიძე,554,0.8041,1604,707,150,570,0.4408,0.0935,0.3554,18,0.0255
202006,202006,unm,ელენე ხოშტარია,151,0.2635,1342,583,148,436,0.4344,0.1103,0.3249,10,0.0172
202006,202006,gd,ბიძინა გეგიძე,422,0.7365,1342,583,148,436,0.4344,0.1103,0.3249,10,0.0172
202007,202007,unm,ელენე ხოშტარია,129,0.2854,1063,465,86,370,0.4374,0.0809,0.3481,13,0.028
202007,202007,gd,ბიძინა გეგიძე,323,0.7146,1063,465,86,370,0.4374,0.0809,0.3481,13,0.028
202008,202008,unm,ელენე ხოშტარია,107,0.2346,1315,464,105,372,0.3529,0.0798,0.2829,8,0.0172
202008,202008,gd,ბიძინა გეგიძე,349,0.7654,1315,464,105,372,0.3529,0.0798,0.2829,8,0.0172
202009,202009,unm,ელენე ხოშტარია,81,0.1698,1259,479,126,389,0.3805,0.1001,0.309,2,0.0042
202009,202009,gd,ბიძინა გეგიძე,396,0.8302,1259,479,126,389,0.3805,0.1001,0.309,2,0.0042
202010,202010,unm,ელენე ხოშტარია,115,0.2057,1374,573,110,435,0.417,0.0801,0.3166,13,0.0227
202010,202010,gd,ბიძინა გეგიძე,444,0.7943,1374,573,110,435,0.417,0.0801,0.3166,13,0.0227
202011,202011,unm,ელენე ხოშტარია,164,0.2823,1354,599,131,455,0.4424,0.0968,0.336,18,0.0301
202011,202011,gd,ბიძინა გეგიძე,417,0.7177,1354,599,131,455,0.4424,0.0968,0.336,18,0.0301
202012,202012,unm,ელენე ხოშტარია,138,0.23,1328,623,147,481,0.4691,0.1107,0.3622,23,0.0369
202012,202012,gd,ბიძინა გეგიძე,462,0.77,1328,623,147,481,0.4691,0.1107,0.3622,23,0.0369
202013,202013,unm,ელენე ხოშტარია,140,0.2247,1506,635,177,500,0.4216,0.1175,0.332,12,0.0189
202013,202013,gd,ბიძინა გეგიძე,483,0.7753,1506,635,177,500,0.4216,0.1175,0.332,12,0.0189
202014,202014,unm,ელენე ხოშტარია,164,0.2706,1434,623,164,515,0.4344,0.1144,0.3591,17,0.0273
202014,202014,gd,ბიძინა გეგიძე,442,0.7294,1434,623,164,515,0.4344,0.1144,0.3591,17,0.0273
202015,202015,unm,ელენე ხოშტარია,117,0.2135,1430,563,117,430,0.3937,0.0818,0.3007,14,0.0249
202015,202015,gd,ბიძინა გეგიძე,431,0.7865,1430,563,117,430,0.3937,0.0818,0.3007,14,0.0249
202016,202016,unm,ელენე ხოშტარია,118,0.2864,1269,417,94,333,0.3286,0.0741,0.2624,5,0.012
202016,202016,gd,ბიძინა გეგიძე,294,0.7136,1269,417,94,333,0.3286,0.0741,0.2624,5,0.012
202022,202022,unm,ელენე ხოშტარია,84,0.2264,1207,375,98,301,0.3107,0.0812,0.2494,4,0.0107
202022,202022,gd,ბიძინა გეგიძე,287,0.7736,1207,375,98,301,0.3107,0.0812,0.2494,4,0.0107
202049,202049,unm,ელენე ხოშტარია,134,0.2182,1490,635,98,488,0.4262,0.0658,0.3275,19,0.0299
202049,202049,gd,ბიძინა გეგიძე,480,0.7818,1490,635,98,488,0.4262,0.0658,0.3275,19,0.0299
202050,202050,unm,ელენე ხოშტარია,145,0.2393,1580,613,130,480,0.388,0.0823,0.3038,7,0.0114
202050,202050,gd,ბიძინა გეგიძე,461,0.7607,1580,613,130,480,0.388,0.0823,0.3038,7,0.0114
202051,202051,unm,ელენე ხოშტარია,122,0.2202,1543,568,100,425,0.3681,0.0648,0.2754,14,0.0246
202051,202051,gd,ბიძინა გეგიძე,432,0.7798,1543,568,100,425,0.3681,0.0648,0.2754,14,0.0246
202052,202052,unm,ელენე ხოშტარია,144,0.2769,1210,533,105,429,0.4405,0.0868,0.3545,13,0.0244
202052,202052,gd,ბიძინა გეგიძე,376,0.7231,1210,533,105,429,0.4405,0.0868,0.3545,13,0.0244
202066,202066,unm,ელენე ხოშტარია,132,0.2481,1299,545,169,460,0.4196,0.1301,0.3541,13,0.0239
202066,202066,gd,ბიძინა გეგიძე,400,0.7519,1299,545,169,460,0.4196,0.1301,0.3541,13,0.0239
202067,202067,unm,ელენე ხოშტარია,115,0.2527,1047,461,130,342,0.4403,0.1242,0.3266,6,0.013
202067,202067,gd,ბიძინა გეგიძე,340,0.7473,1047,461,130,342,0.4403,0.1242,0.3266,6,0.013
202068,202068,unm,ელენე ხოშტარია,168,0.3621,1288,480,154,370,0.3727,0.1196,0.2873,16,0.0333
202068,202068,gd,ბიძინა გეგიძე,296,0.6379,1288,480,154,370,0.3727,0.1196,0.2873,16,0.0333
202069,202069,unm,ელენე ხოშტარია,199,0.4004,1092,503,185,385,0.4606,0.1694,0.3526,6,0.0119
202069,202069,gd,ბიძინა გეგიძე,298,0.5996,1092,503,185,385,0.4606,0.1694,0.3526,6,0.0119
202070,202070,unm,ელენე ხოშტარია,126,0.3378,1016,376,118,304,0.3701,0.1161,0.2992,3,0.008
202070,202070,gd,ბიძინა გეგიძე,247,0.6622,1016,376,118,304,0.3701,0.1161,0.2992,3,0.008
202071,202071,unm,ელენე ხოშტარია,95,0.2116,1520,455,118,356,0.2993,0.0776,0.2342,6,0.0132
202071,202071,gd,ბიძინა გეგიძე,354,0.7884,1520,455,118,356,0.2993,0.0776,0.2342,6,0.0132
202075,202075,unm,ელენე ხოშტარია,55,0.1325,933,422,141,343,0.4523,0.1511,0.3676,7,0.0166
202075,202075,gd,ბიძინა გეგიძე,360,0.8675,933,422,141,343,0.4523,0.1511,0.3676,7,0.0166
202076,202076,unm,ელენე ხოშტარია,106,0.2199,1195,490,93,371,0.41,0.0778,0.3105,8,0.0163
202076,202076,gd,ბიძინა გეგიძე,376,0.7801,1195,490,93,371,0.41,0.0778,0.3105,8,0.0163
603001,603001,unm,სევდია უგრეხელიძე,92,0.1811,1488,522,150,429,0.3508,0.1008,0.2883,14,0.0268
603001,603001,gd,ლევან გოგიჩაიშვილი,416,0.8189,1488,522,150,429,0.3508,0.1008,0.2883,14,0.0268
603002,603002,unm,სევდია უგრეხელიძე,155,0.2512,1592,625,178,505,0.3926,0.1118,0.3172,8,0.0128
603002,603002,gd,ლევან გოგიჩაიშვილი,462,0.7488,1592,625,178,505,0.3926,0.1118,0.3172,8,0.0128
603003,603003,unm,სევდია უგრეხელიძე,123,0.2421,1488,525,136,430,0.3528,0.0914,0.289,14,0.0267
603003,603003,gd,ლევან გოგიჩაიშვილი,385,0.7579,1488,525,136,430,0.3528,0.0914,0.289,14,0.0267
603004,603004,unm,სევდია უგრეხელიძე,99,0.2215,1416,460,107,374,0.3249,0.0756,0.2641,13,0.0283
603004,603004,gd,ლევან გოგიჩაიშვილი,348,0.7785,1416,460,107,374,0.3249,0.0756,0.2641,13,0.0283
603005,603005,unm,სევდია უგრეხელიძე,104,0.1837,1601,588,148,491,0.3673,0.0924,0.3067,22,0.0374
603005,603005,gd,ლევან გოგიჩაიშვილი,462,0.8163,1601,588,148,491,0.3673,0.0924,0.3067,22,0.0374
603008,603008,unm,სევდია უგრეხელიძე,93,0.182,1469,517,136,388,0.3519,0.0926,0.2641,6,0.0116
603008,603008,gd,ლევან გოგიჩაიშვილი,418,0.818,1469,517,136,388,0.3519,0.0926,0.2641,6,0.0116
603009,603009,unm,სევდია უგრეხელიძე,152,0.2259,1527,688,161,540,0.4506,0.1054,0.3536,15,0.0218
603009,603009,gd,ლევან გოგიჩაიშვილი,521,0.7741,1527,688,161,540,0.4506,0.1054,0.3536,15,0.0218
603010,603010,unm,სევდია უგრეხელიძე,119,0.2027,1424,601,132,501,0.4221,0.0927,0.3518,14,0.0233
603010,603010,gd,ლევან გოგიჩაიშვილი,468,0.7973,1424,601,132,501,0.4221,0.0927,0.3518,14,0.0233
603011,603011,unm,სევდია უგრეხელიძე,125,0.2404,1448,535,132,441,0.3695,0.0912,0.3046,15,0.028
603011,603011,gd,ლევან გოგიჩაიშვილი,395,0.7596,1448,535,132,441,0.3695,0.0912,0.3046,15,0.028
603014,603014,unm,სევდია უგრეხელიძე,109,0.1799,1549,614,155,485,0.3964,0.1001,0.3131,8,0.013
603014,603014,gd,ლევან გოგიჩაიშვილი,497,0.8201,1549,614,155,485,0.3964,0.1001,0.3131,8,0.013
603026,603026,unm,სევდია უგრეხელიძე,102,0.2247,1153,468,120,371,0.4059,0.1041,0.3218,13,0.0278
603026,603026,gd,ლევან გოგიჩაიშვილი,352,0.7753,1153,468,120,371,0.4059,0.1041,0.3218,13,0.0278
603027,603027,unm,სევდია უგრეხელიძე,50,0.1832,685,285,68,236,0.4161,0.0993,0.3445,12,0.0421
603027,603027,gd,ლევან გოგიჩაიშვილი,223,0.8168,685,285,68,236,0.4161,0.0993,0.3445,12,0.0421
603028,603028,unm,სევდია უგრეხელიძე,91,0.1924,1304,478,115,391,0.3666,0.0882,0.2998,5,0.0105
603028,603028,gd,ლევან გოგიჩაიშვილი,382,0.8076,1304,478,115,391,0.3666,0.0882,0.2998,5,0.0105
603029,603029,unm,სევდია უგრეხელიძე,92,0.1874,1361,501,132,430,0.3681,0.097,0.3159,10,0.02
603029,603029,gd,ლევან გოგიჩაიშვილი,399,0.8126,1361,501,132,430,0.3681,0.097,0.3159,10,0.02
603030,603030,unm,სევდია უგრეხელიძე,106,0.2482,1299,433,134,354,0.3333,0.1032,0.2725,6,0.0139
603030,603030,gd,ლევან გოგიჩაიშვილი,321,0.7518,1299,433,134,354,0.3333,0.1032,0.2725,6,0.0139
603031,603031,unm,სევდია უგრეხელიძე,116,0.221,1493,536,118,414,0.359,0.079,0.2773,11,0.0205
603031,603031,gd,ლევან გოგიჩაიშვილი,409,0.779,1493,536,118,414,0.359,0.079,0.2773,11,0.0205
603043,603043,unm,სევდია უგრეხელიძე,82,0.155,1532,541,92,416,0.3531,0.0601,0.2715,12,0.0222
603043,603043,gd,ლევან გოგიჩაიშვილი,447,0.845,1532,541,92,416,0.3531,0.0601,0.2715,12,0.0222
603044,603044,unm,სევდია უგრეხელიძე,86,0.1777,1507,493,99,376,0.3271,0.0657,0.2495,9,0.0183
603044,603044,gd,ლევან გოგიჩაიშვილი,398,0.8223,1507,493,99,376,0.3271,0.0657,0.2495,9,0.0183
603045,603045,unm,სევდია უგრეხელიძე,103,0.2178,1093,492,130,434,0.4501,0.1189,0.3971,19,0.0386
603045,603045,gd,ლევან გოგიჩაიშვილი,370,0.7822,1093,492,130,434,0.4501,0.1189,0.3971,19,0.0386
603048,603048,unm,სევდია უგრეხელიძე,64,0.1654,1354,400,116,315,0.2954,0.0857,0.2326,13,0.0325
603048,603048,gd,ლევან გოგიჩაიშვილი,323,0.8346,1354,400,116,315,0.2954,0.0857,0.2326,13,0.0325
603054,603054,unm,სევდია უგრეხელიძე,125,0.2026,1409,624,156,501,0.4429,0.1107,0.3556,7,0.0112
603054,603054,gd,ლევან გოგიჩაიშვილი,492,0.7974,1409,624,156,501,0.4429,0.1107,0.3556,7,0.0112
603061,603061,unm,სევდია უგრეხელიძე,86,0.189,1324,465,98,393,0.3512,0.074,0.2968,10,0.0215
603061,603061,gd,ლევან გოგიჩაიშვილი,369,0.811,1324,465,98,393,0.3512,0.074,0.2968,10,0.0215
603062,603062,unm,სევდია უგრეხელიძე,95,0.2097,1279,471,83,348,0.3683,0.0649,0.2721,18,0.0382
603062,603062,gd,ლევან გოგიჩაიშვილი,358,0.7903,1279,471,83,348,0.3683,0.0649,0.2721,18,0.0382
603063,603063,unm,სევდია უგრეხელიძე,99,0.1919,1490,530,140,431,0.3557,0.094,0.2893,14,0.0264
603063,603063,gd,ლევან გოგიჩაიშვილი,417,0.8081,1490,530,140,431,0.3557,0.094,0.2893,14,0.0264
603069,603069,unm,სევდია უგრეხელიძე,128,0.2144,1615,612,142,489,0.3789,0.0879,0.3028,15,0.0245
603069,603069,gd,ლევან გოგიჩაიშვილი,469,0.7856,1615,612,142,489,0.3789,0.0879,0.3028,15,0.0245
603071,603071,unm,სევდია უგრეხელიძე,86,0.1803,1137,493,146,390,0.4336,0.1284,0.343,16,0.0325
603071,603071,gd,ლევან გოგიჩაიშვილი,391,0.8197,1137,493,146,390,0.4336,0.1284,0.343,16,0.0325
603072,603072,unm,სევდია უგრეხელიძე,130,0.2178,1404,609,125,507,0.4338,0.089,0.3611,12,0.0197
603072,603072,gd,ლევან გოგიჩაიშვილი,467,0.7822,1404,609,125,507,0.4338,0.089,0.3611,12,0.0197
603077,603077,unm,სევდია უგრეხელიძე,76,0.1845,1479,417,89,342,0.2819,0.0602,0.2312,5,0.012
603077,603077,gd,ლევან გოგიჩაიშვილი,336,0.8155,1479,417,89,342,0.2819,0.0602,0.2312,5,0.012
603078,603078,unm,სევდია უგრეხელიძე,118,0.2278,1427,538,186,457,0.377,0.1303,0.3203,20,0.0372
603078,603078,gd,ლევან გოგიჩაიშვილი,400,0.7722,1427,538,186,457,0.377,0.1303,0.3203,20,0.0372
603081,603081,unm,სევდია უგრეხელიძე,67,0.2068,1283,333,107,266,0.2595,0.0834,0.2073,9,0.027
603081,603081,gd,ლევან გოგიჩაიშვილი,257,0.7932,1283,333,107,266,0.2595,0.0834,0.2073,9,0.027
603082,603082,unm,სევდია უგრეხელიძე,91,0.2486,1078,374,107,305,0.3469,0.0993,0.2829,8,0.0214
603082,603082,gd,ლევან გოგიჩაიშვილი,275,0.7514,1078,374,107,305,0.3469,0.0993,0.2829,8,0.0214
603083,603083,unm,სევდია უგრეხელიძე,155,0.2504,1618,628,134,511,0.3881,0.0828,0.3158,9,0.0143
603083,603083,gd,ლევან გოგიჩაიშვილი,464,0.7496,1618,628,134,511,0.3881,0.0828,0.3158,9,0.0143
701035,701035,unm,ირაკლი აბესაძე,152,0.2525,1307,620,185,472,0.4744,0.1415,0.3611,18,0.029
701035,701035,gd,ბექა ოდიშარია,450,0.7475,1307,620,185,472,0.4744,0.1415,0.3611,18,0.029
701036,701036,unm,ირაკლი აბესაძე,38,0.2517,337,155,71,135,0.4599,0.2107,0.4006,4,0.0258
701036,701036,gd,ბექა ოდიშარია,113,0.7483,337,155,71,135,0.4599,0.2107,0.4006,4,0.0258
701037,701037,unm,ირაკლი აბესაძე,165,0.1912,1682,877,229,668,0.5214,0.1361,0.3971,14,0.016
701037,701037,gd,ბექა ოდიშარია,698,0.8088,1682,877,229,668,0.5214,0.1361,0.3971,14,0.016
701038,701038,unm,ირაკლი აბესაძე,239,0.3867,987,627,186,511,0.6353,0.1884,0.5177,9,0.0144
701038,701038,gd,ბექა ოდიშარია,379,0.6133,987,627,186,511,0.6353,0.1884,0.5177,9,0.0144
701039,701039,unm,ირაკლი აბესაძე,146,0.1858,1313,797,232,615,0.607,0.1767,0.4684,11,0.0138
701039,701039,gd,ბექა ოდიშარია,640,0.8142,1313,797,232,615,0.607,0.1767,0.4684,11,0.0138
704002,704002,unm,ირაკლი აბესაძე,113,0.2729,1383,423,103,340,0.3059,0.0745,0.2458,9,0.0213
704002,704002,gd,ბექა ოდიშარია,301,0.7271,1383,423,103,340,0.3059,0.0745,0.2458,9,0.0213
704003,704003,unm,ირაკლი აბესაძე,122,0.2983,1508,420,81,295,0.2785,0.0537,0.1956,11,0.0262
704003,704003,gd,ბექა ოდიშარია,287,0.7017,1508,420,81,295,0.2785,0.0537,0.1956,11,0.0262
704004,704004,unm,ირაკლი აბესაძე,87,0.226,1369,388,96,312,0.2834,0.0701,0.2279,3,0.0077
704004,704004,gd,ბექა ოდიშარია,298,0.774,1369,388,96,312,0.2834,0.0701,0.2279,3,0.0077
704005,704005,unm,ირაკლი აბესაძე,86,0.256,1283,344,101,257,0.2681,0.0787,0.2003,8,0.0233
704005,704005,gd,ბექა ოდიშარია,250,0.744,1283,344,101,257,0.2681,0.0787,0.2003,8,0.0233
704006,704006,unm,ირაკლი აბესაძე,91,0.2446,1439,385,98,299,0.2675,0.0681,0.2078,13,0.0338
704006,704006,gd,ბექა ოდიშარია,281,0.7554,1439,385,98,299,0.2675,0.0681,0.2078,13,0.0338
704007,704007,unm,ირაკლი აბესაძე,104,0.2581,1297,405,131,322,0.3123,0.101,0.2483,2,0.0049
704007,704007,gd,ბექა ოდიშარია,299,0.7419,1297,405,131,322,0.3123,0.101,0.2483,2,0.0049
704008,704008,unm,ირაკლი აბესაძე,101,0.22,1375,467,131,373,0.3396,0.0953,0.2713,8,0.0171
704008,704008,gd,ბექა ოდიშარია,358,0.78,1375,467,131,373,0.3396,0.0953,0.2713,8,0.0171
704009,704009,unm,ირაკლი აბესაძე,81,0.263,1045,318,133,256,0.3043,0.1273,0.245,10,0.0314
704009,704009,gd,ბექა ოდიშარია,227,0.737,1045,318,133,256,0.3043,0.1273,0.245,10,0.0314
704010,704010,unm,ირაკლი აბესაძე,156,0.3741,1329,421,142,351,0.3168,0.1068,0.2641,4,0.0095
704010,704010,gd,ბექა ოდიშარია,261,0.6259,1329,421,142,351,0.3168,0.1068,0.2641,4,0.0095
704011,704011,unm,ირაკლი აბესაძე,119,0.349,1061,349,94,291,0.3289,0.0886,0.2743,8,0.0229
704011,704011,gd,ბექა ოდიშარია,222,0.651,1061,349,94,291,0.3289,0.0886,0.2743,8,0.0229
704012,704012,unm,ირაკლი აბესაძე,208,0.3624,1595,587,177,466,0.368,0.111,0.2922,13,0.0221
704012,704012,gd,ბექა ოდიშარია,366,0.6376,1595,587,177,466,0.368,0.111,0.2922,13,0.0221
