"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","ამირან ბერიძე",1,147,3455598,1489131,569700,1181362,3429019,26579,60580,0.000104,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ამირან დავითაძე",1,99,3455598,1489131,569700,1181362,3429019,26579,60580,7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ამირან ჯანგირაშვილი",1,30,3455598,1489131,569700,1181362,3429019,26579,60580,2.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ამირანი გოგოლაძე",1,50,3455598,1489131,569700,1181362,3429019,26579,60580,3.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ამირანი ნათელაური",1,26,3455598,1489131,569700,1181362,3429019,26579,60580,1.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ამირანი ნახუცრიშვილი",1,265,3455598,1489131,569700,1181362,3429019,26579,60580,0.000187,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ანგი ძინძიბაძე",1,152,3455598,1489131,569700,1181362,3429019,26579,60580,0.000107,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ანზორ ბოლქვაძე",1,174,3455598,1489131,569700,1181362,3429019,26579,60580,0.000123,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ანთიმოზ ჯაჯანიძე",1,12,3455598,1489131,569700,1181362,3429019,26579,60580,8e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ანრი არღვლიანი",1,50,3455598,1489131,569700,1181362,3429019,26579,60580,3.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არიფ ახმედოვი",1,162,3455598,1489131,569700,1181362,3429019,26579,60580,0.000114,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არიფ გასანოვი",1,5,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არსენა შანიძე",1,6,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არსენა ხეცაურიძე",1,226,3455598,1489131,569700,1181362,3429019,26579,60580,0.00016,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არსენი ცანკაშვილი",1,194,3455598,1489131,569700,1181362,3429019,26579,60580,0.000137,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არშალუის პეტროსიან",1,28,3455598,1489131,569700,1181362,3429019,26579,60580,2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არჩილ გურაშვილი",1,65,3455598,1489131,569700,1181362,3429019,26579,60580,4.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არჩილ კუკულაძე",1,359,3455598,1489131,569700,1181362,3429019,26579,60580,0.000253,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","არჩილი ყავრიშვილი",1,180,3455598,1489131,569700,1181362,3429019,26579,60580,0.000127,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ასკერ გუმბატოვი",1,7,3455598,1489131,569700,1181362,3429019,26579,60580,5e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ასლან გაბაიძე",1,24,3455598,1489131,569700,1181362,3429019,26579,60580,1.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბააკა თოდუა",1,58,3455598,1489131,569700,1181362,3429019,26579,60580,4.1e-05,0.430933,0.164863,0.341869,0.040681
