"selfgov_id","party_id","seats_pr","seats_smd","seats_mayor"
"national","citizens",1,0,0
"national","european_georgia",13,4,0
"national","european_socialists",3,1,0
"national","for_people",2,0,0
"national","gakharia",107,2,0
"national","gd",777,557,63
"national","girchi",1,0,0
"national","girchi_more_freedom",1,0,0
"national","independent",0,3,0
"national","labour",3,0,0
"national","lelo",27,0,0
"national","mechiauri_united",5,1,0
"national","patriots",5,0,0
"national","peoples_party",3,0,0
"national","progress_freedom",2,0,0
"national","third_force",7,1,0
"national","unm",447,53,1
"1","for_people",1,0,0
"1","gakharia",4,0,0
"1","gd",19,9,1
"1","girchi_more_freedom",1,0,0
"1","lelo",2,0,0
"1","unm",13,0,0
"11","gd",16,13,1
"11","lelo",1,0,0
"11","unm",9,0,0
"12","european_georgia",1,0,0
"12","gakharia",1,0,0
"12","gd",15,13,1
"12","unm",9,0,0
"13","gakharia",1,0,0
"13","gd",14,12,1
"13","unm",9,0,0
"14","gd",14,10,1
"14","peoples_party",1,0,0
"14","unm",5,0,0
"15","gakharia",1,0,0
"15","gd",10,7,1
"15","third_force",1,1,0
"15","unm",8,1,0
"16","gakharia",1,0,0
"16","gd",10,8,1
"16","unm",7,0,0
"17","gakharia",1,0,0
"17","gd",13,9,1
"17","unm",12,4,0
"18","gakharia",1,0,0
"18","gd",10,7,1
"18","unm",9,2,0
"19","gakharia",1,0,0
"19","gd",9,7,1
"19","mechiauri_united",4,1,0
"19","unm",4,0,0
"20","gakharia",3,0,0
"20","gd",12,3,1
"20","unm",13,3,0
"21","gd",15,11,1
"21","unm",9,1,0
"22","gd",16,11,1
"22","unm",6,0,0
"23","gd",18,12,1
"23","unm",6,0,0
"24","gd",10,5,1
"24","progress_freedom",1,0,0
"24","unm",9,4,0
"25","gakharia",1,0,0
"25","gd",12,8,1
"25","progress_freedom",1,0,0
"25","third_force",1,0,0
"25","unm",5,1,0
"26","gakharia",1,0,0
"26","gd",15,12,1
"26","lelo",1,0,0
"26","unm",7,0,0
"27","gakharia",1,0,0
"27","gd",10,9,1
"27","unm",7,0,0
"28","gakharia",2,0,0
"28","gd",12,10,1
"28","labour",1,0,0
"28","lelo",1,0,0
"28","patriots",1,0,0
"28","unm",5,0,0
"29","european_socialists",1,0,0
"29","for_people",1,0,0
"29","gakharia",1,0,0
"29","gd",6,6,1
"29","mechiauri_united",1,0,0
"29","patriots",1,0,0
"29","unm",1,0,0
"30","gakharia",2,0,0
"30","gd",10,8,1
"30","patriots",1,0,0
"30","unm",7,1,0
"32","gakharia",3,0,0
"32","gd",13,11,1
"32","unm",8,1,0
"33","gakharia",1,0,0
"33","gd",9,7,1
"33","lelo",1,0,0
"33","unm",7,0,0
"35","gakharia",2,0,0
"35","gd",8,7,1
"35","lelo",1,0,0
"35","unm",7,1,0
"36","gakharia",1,0,0
"36","gd",14,10,1
"36","patriots",1,0,0
"36","unm",6,1,0
"37","gakharia",2,0,0
"37","gd",16,12,1
"37","unm",8,0,0
"38","gd",14,10,1
"38","unm",8,1,0
"39","european_georgia",1,0,0
"39","gd",13,9,1
"39","lelo",1,0,0
"39","unm",5,1,0
"40","european_georgia",2,0,0
"40","gd",23,14,1
"40","lelo",1,0,0
"40","unm",2,0,0
"41","european_georgia",1,0,0
"41","gakharia",1,0,0
"41","gd",17,10,1
"41","unm",1,0,0
"43","gakharia",4,0,0
"43","gd",11,9,1
"43","lelo",2,0,0
"43","patriots",1,0,0
"43","unm",4,0,0
"44","gakharia",3,0,0
"44","gd",12,10,1
"44","lelo",1,0,0
