"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","free_democrats","ივანე როყვა",1,93,54448,14733,6051,12034,54314,134,718,0.00664,0.270588,0.111134,0.221018,0.048734
"national","gd","ალექსანდრე მერებაშვილი",1,826,54448,14733,6051,12034,54314,134,718,0.058979,0.270588,0.111134,0.221018,0.048734
"national","gd","ამირან ლაგვილავა",1,613,54448,14733,6051,12034,54314,134,718,0.04377,0.270588,0.111134,0.221018,0.048734
"national","gd","ბორია ფირცხელიანი",1,3639,54448,14733,6051,12034,54314,134,718,0.259836,0.270588,0.111134,0.221018,0.048734
"national","gd","ვასილ ჩიგოგიძე",1,918,54448,14733,6051,12034,54314,134,718,0.065548,0.270588,0.111134,0.221018,0.048734
"national","gd","ვუგარ მამედოვი",1,1119,54448,14733,6051,12034,54314,134,718,0.0799,0.270588,0.111134,0.221018,0.048734
"national","gd","კობა კაკულია",1,119,54448,14733,6051,12034,54314,134,718,0.008497,0.270588,0.111134,0.221018,0.048734
"national","gd","მურადი ზაქარიაძე",1,1245,54448,14733,6051,12034,54314,134,718,0.088897,0.270588,0.111134,0.221018,0.048734
"national","gd","ნონა ტუნაძე",1,484,54448,14733,6051,12034,54314,134,718,0.034559,0.270588,0.111134,0.221018,0.048734
"national","gd","ფახრადინ შარიფოვი",1,795,54448,14733,6051,12034,54314,134,718,0.056765,0.270588,0.111134,0.221018,0.048734
"national","independent","გრიგოლ კალანდარიშვილი",1,504,54448,14733,6051,12034,54314,134,718,0.035987,0.270588,0.111134,0.221018,0.048734
"national","independent","ჯემალ მურადხანოვი",1,132,54448,14733,6051,12034,54314,134,718,0.009425,0.270588,0.111134,0.221018,0.048734
"national","nonparliamentary_opposition_2014","დავით ხვისტანი",1,6,54448,14733,6051,12034,54314,134,718,0.000428,0.270588,0.111134,0.221018,0.048734
"national","nonparliamentary_opposition_2014","თეონა ქარდავა",1,16,54448,14733,6051,12034,54314,134,718,0.001142,0.270588,0.111134,0.221018,0.048734
"national","nonparliamentary_opposition_2014","ნინო ჯურხაძე",1,624,54448,14733,6051,12034,54314,134,718,0.044556,0.270588,0.111134,0.221018,0.048734
"national","nonparliamentary_opposition_2014","ჯამილა გასანოვა",1,17,54448,14733,6051,12034,54314,134,718,0.001214,0.270588,0.111134,0.221018,0.048734
"national","peoples_authority_2016","ზურაბ კვანტალიანი",1,247,54448,14733,6051,12034,54314,134,718,0.017637,0.270588,0.111134,0.221018,0.048734
"national","peoples_authority_2016","სოლომონ ტატანაშვილი",1,95,54448,14733,6051,12034,54314,134,718,0.006783,0.270588,0.111134,0.221018,0.048734
"national","peoples_authority_2016","ტოფიკ ახმედოვი",1,238,54448,14733,6051,12034,54314,134,718,0.016994,0.270588,0.111134,0.221018,0.048734
"national","unm","ბესიკი ქათამაძე",1,714,54448,14733,6051,12034,54314,134,718,0.050982,0.270588,0.111134,0.221018,0.048734
"national","unm","ბუხუტი ფირცხალავა",1,598,54448,14733,6051,12034,54314,134,718,0.042699,0.270588,0.111134,0.221018,0.048734
"national","unm","ვარადებული ლაშხია",1,623,54448,14733,6051,12034,54314,134,718,0.044484,0.270588,0.111134,0.221018,0.048734
"national","unm","ციცინო აბუაშვილი",1,340,54448,14733,6051,12034,54314,134,718,0.024277,0.270588,0.111134,0.221018,0.048734
"1022","gd","ბორია ფირცხელიანი",1,3639,34208,5023,1625,3834,34113,95,511,0.806874,0.146837,0.047504,0.112079,0.101732
"1022","nonparliamentary_opposition_2014","ნინო ჯურხაძე",1,624,34208,5023,1625,3834,34113,95,511,0.138359,0.146837,0.047504,0.112079,0.101732
"1022","peoples_authority_2016","ზურაბ კვანტალიანი",1,247,34208,5023,1625,3834,34113,95,511,0.054767,0.146837,0.047504,0.112079,0.101732
"2108","gd","ფახრადინ შარიფოვი",1,795,3767,1207,522,938,3760,7,36,0.678907,0.320414,0.138572,0.249005,0.029826
"2108","independent","ჯემალ მურადხანოვი",1,132,3767,1207,522,938,3760,7,36,0.112724,0.320414,0.138572,0.249005,0.029826
"2108","nonparliamentary_opposition_2014","დავით ხვისტანი",1,6,3767,1207,522,938,3760,7,36,0.005124,0.320414,0.138572,0.249005,0.029826
"2108","peoples_authority_2016","ტოფიკ ახმედოვი",1,238,3767,1207,522,938,3760,7,36,0.203245,0.320414,0.138572,0.249005,0.029826
"2118","gd","ვუგარ მამედოვი",1,1119,3373,1178,462,935,3364,9,40,0.985035,0.349244,0.13697,0.277201,0.033956
"2118","nonparliamentary_opposition_2014","ჯამილა გასანოვა",1,17,3373,1178,462,935,3364,9,40,0.014965,0.349244,0.13697,0.277201,0.033956
"3012","gd","ალექსანდრე მერებაშვილი",1,826,2689,1287,545,1080,2681,8,22,0.655036,0.478617,0.202678,0.401636,0.017094
"3012","peoples_authority_2016","სოლომონ ტატანაშვილი",1,95,2689,1287,545,1080,2681,8,22,0.075337,0.478617,0.202678,0.401636,0.017094
"3012","unm","ციცინო აბუაშვილი",1,340,2689,1287,545,1080,2681,8,22,0.269627,0.478617,0.202678,0.401636,0.017094
"5817","free_democrats","ივანე როყვა",1,93,3488,1970,1051,1723,3481,7,34,0.048037,0.564794,0.301319,0.493979,0.017259
"5817","gd","მურადი ზაქარიაძე",1,1245,3488,1970,1051,1723,3481,7,34,0.643079,0.564794,0.301319,0.493979,0.017259
"5817","unm","ბუხუტი ფირცხალავა",1,598,3488,1970,1051,1723,3481,7,34,0.308884,0.564794,0.301319,0.493979,0.017259
"6004","gd","ვასილ ჩიგოგიძე",1,918,2620,1459,701,1279,2618,2,36,0.64557,0.55687,0.267557,0.488168,0.024674
"6004","independent","გრიგოლ კალანდარიშვილი",1,504,2620,1459,701,1279,2618,2,36,0.35443,0.55687,0.267557,0.488168,0.024674
"6005","gd","ნონა ტუნაძე",1,484,2079,1214,588,1065,2073,6,15,0.404007,0.583935,0.282828,0.512266,0.012356
"6005","unm","ბესიკი ქათამაძე",1,714,2079,1214,588,1065,2073,6,15,0.595993,0.583935,0.282828,0.512266,0.012356
"6617","gd","კობა კაკულია",1,119,244,122,54,109,244,0,3,1,0.5,0.221311,0.446721,0.02459
"6715","gd","ამირან ლაგვილავა",1,613,1980,1273,503,1071,1980,0,21,0.489617,0.642929,0.25404,0.540909,0.016496
"6715","nonparliamentary_opposition_2014","თეონა ქარდავა",1,16,1980,1273,503,1071,1980,0,21,0.01278,0.642929,0.25404,0.540909,0.016496
"6715","unm","ვარადებული ლაშხია",1,623,1980,1273,503,1071,1980,0,21,0.497604,0.642929,0.25404,0.540909,0.016496
