"precinct_id","district_id","party_id","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
1001,101,"conservatives_geo",30,0.049423,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1001,101,"gd",451,0.742998,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1001,101,"georgia_party",5,0.008237,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1001,101,"girchi",46,0.075783,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1001,101,"mamuli_ena",14,0.023064,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1001,101,"strong_georgia",61,0.100494,2512,668,258,570,0.265924,0.102707,0.226911,61,0.091317
1002,101,"conservatives_geo",15,0.048701,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1002,101,"gd",235,0.762987,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1002,101,"georgia_party",2,0.006494,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1002,101,"girchi",22,0.071429,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1002,101,"mamuli_ena",9,0.029221,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1002,101,"strong_georgia",25,0.081169,1411,354,138,315,0.250886,0.097803,0.223246,46,0.129944
1003,101,"conservatives_geo",18,0.056962,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1003,101,"gd",247,0.781646,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1003,101,"georgia_party",1,0.003165,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1003,101,"girchi",15,0.047468,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1003,101,"mamuli_ena",6,0.018987,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1003,101,"strong_georgia",29,0.091772,1162,362,141,307,0.311532,0.121343,0.2642,46,0.127072
1004,101,"conservatives_geo",20,0.05277,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1004,101,"gd",271,0.71504,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1004,101,"georgia_party",1,0.002639,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1004,101,"girchi",24,0.063325,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1004,101,"mamuli_ena",13,0.034301,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1004,101,"strong_georgia",50,0.131926,1533,407,151,369,0.265492,0.0985,0.240705,28,0.068796
1005,101,"conservatives_geo",13,0.033592,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1005,101,"gd",277,0.715762,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1005,101,"georgia_party",4,0.010336,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1005,101,"girchi",30,0.077519,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1005,101,"mamuli_ena",5,0.01292,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1005,101,"strong_georgia",58,0.149871,1515,407,158,351,0.268647,0.10429,0.231683,20,0.04914
1006,101,"conservatives_geo",12,0.035088,1414,373,159,342,0.263791,0.112447,0.241867,31,0.08311
1006,101,"gd",276,0.807018,1414,373,159,342,0.263791,0.112447,0.241867,31,0.08311
