"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
48001,48,"unm","5","თორნიკე ავალიშვილი",237,0.316422,1198,788,275,690,0.657763,0.229549,0.57596,27,0.034264
48002,48,"european_georgia","2","ბესიკი ყრუაშვილი",22,0.042636,821,536,203,368,0.652862,0.247259,0.448234,20,0.037313
48002,48,"gd","41","კობა ლურსმანაშვილი",299,0.579457,821,536,203,368,0.652862,0.247259,0.448234,20,0.037313
48002,48,"lelo","56","მიხეილ ჭიპაშვილი",48,0.093023,821,536,203,368,0.652862,0.247259,0.448234,20,0.037313
48002,48,"patriots","8","თეიმურაზ ფცქიალაძე",28,0.054264,821,536,203,368,0.652862,0.247259,0.448234,20,0.037313
48002,48,"unm","5","თორნიკე ავალიშვილი",119,0.23062,821,536,203,368,0.652862,0.247259,0.448234,20,0.037313
48003,48,"european_georgia","2","ბესიკი ყრუაშვილი",8,0.017699,574,477,199,420,0.83101,0.34669,0.731707,19,0.039832
48003,48,"gd","41","კობა ლურსმანაშვილი",301,0.665929,574,477,199,420,0.83101,0.34669,0.731707,19,0.039832
48003,48,"lelo","56","მიხეილ ჭიპაშვილი",16,0.035398,574,477,199,420,0.83101,0.34669,0.731707,19,0.039832
48003,48,"patriots","8","თეიმურაზ ფცქიალაძე",15,0.033186,574,477,199,420,0.83101,0.34669,0.731707,19,0.039832
48003,48,"unm","5","თორნიკე ავალიშვილი",112,0.247788,574,477,199,420,0.83101,0.34669,0.731707,19,0.039832
48004,48,"european_georgia","2","ბესიკი ყრუაშვილი",31,0.062,778,531,201,442,0.682519,0.258355,0.568123,31,0.05838
48004,48,"gd","41","კობა ლურსმანაშვილი",271,0.542,778,531,201,442,0.682519,0.258355,0.568123,31,0.05838
48004,48,"lelo","56","მიხეილ ჭიპაშვილი",18,0.036,778,531,201,442,0.682519,0.258355,0.568123,31,0.05838
48004,48,"patriots","8","თეიმურაზ ფცქიალაძე",31,0.062,778,531,201,442,0.682519,0.258355,0.568123,31,0.05838
48004,48,"unm","5","თორნიკე ავალიშვილი",149,0.298,778,531,201,442,0.682519,0.258355,0.568123,31,0.05838
48005,48,"european_georgia","2","ბესიკი ყრუაშვილი",14,0.065728,308,224,91,199,0.727273,0.295455,0.646104,11,0.049107
48005,48,"gd","41","კობა ლურსმანაშვილი",150,0.704225,308,224,91,199,0.727273,0.295455,0.646104,11,0.049107
48005,48,"lelo","56","მიხეილ ჭიპაშვილი",5,0.023474,308,224,91,199,0.727273,0.295455,0.646104,11,0.049107
48005,48,"patriots","8","თეიმურაზ ფცქიალაძე",12,0.056338,308,224,91,199,0.727273,0.295455,0.646104,11,0.049107
48005,48,"unm","5","თორნიკე ავალიშვილი",32,0.150235,308,224,91,199,0.727273,0.295455,0.646104,11,0.049107
48006,48,"european_georgia","2","ბესიკი ყრუაშვილი",8,0.026667,434,309,124,267,0.711982,0.285714,0.615207,9,0.029126
48006,48,"gd","41","კობა ლურსმანაშვილი",176,0.586667,434,309,124,267,0.711982,0.285714,0.615207,9,0.029126
48006,48,"lelo","56","მიხეილ ჭიპაშვილი",8,0.026667,434,309,124,267,0.711982,0.285714,0.615207,9,0.029126
48006,48,"patriots","8","თეიმურაზ ფცქიალაძე",6,0.02,434,309,124,267,0.711982,0.285714,0.615207,9,0.029126
48006,48,"unm","5","თორნიკე ავალიშვილი",102,0.34,434,309,124,267,0.711982,0.285714,0.615207,9,0.029126
48007,48,"european_georgia","2","ბესიკი ყრუაშვილი",4,0.019704,273,214,96,193,0.783883,0.351648,0.70696,11,0.051402
48007,48,"gd","41","კობა ლურსმანაშვილი",120,0.591133,273,214,96,193,0.783883,0.351648,0.70696,11,0.051402
48007,48,"lelo","56","მიხეილ ჭიპაშვილი",6,0.029557,273,214,96,193,0.783883,0.351648,0.70696,11,0.051402
48007,48,"patriots","8","თეიმურაზ ფცქიალაძე",11,0.054187,273,214,96,193,0.783883,0.351648,0.70696,11,0.051402
48007,48,"unm","5","თორნიკე ავალიშვილი",62,0.305419,273,214,96,193,0.783883,0.351648,0.70696,11,0.051402
48008,48,"european_georgia","2","ბესიკი ყრუაშვილი",19,0.025815,1059,764,280,620,0.721435,0.2644,0.585458,28,0.036649
48008,48,"gd","41","კობა ლურსმანაშვილი",424,0.576087,1059,764,280,620,0.721435,0.2644,0.585458,28,0.036649
