"precinct_id","selfgov_id","party_id","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
1001,1,"conservatives_geo",28,0.043682,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"free_georgia",5,0.0078,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"gd",472,0.736349,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"georgia_party",2,0.00312,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"girchi",50,0.078003,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"greens_geo",5,0.0078,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"mamuli_ena",8,0.01248,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"patriots",4,0.00624,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1001,1,"strong_georgia",67,0.104524,2512,673,258,570,0.267914,0.102707,0.226911,32,0.047548
1002,1,"conservatives_geo",15,0.04644,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"free_georgia",6,0.018576,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"gd",240,0.743034,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"georgia_party",1,0.003096,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"girchi",19,0.058824,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"greens_geo",7,0.021672,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"mamuli_ena",3,0.009288,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"patriots",6,0.018576,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1002,1,"strong_georgia",26,0.080495,1411,356,138,315,0.252303,0.097803,0.223246,33,0.092697
1003,1,"conservatives_geo",15,0.045181,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"free_georgia",3,0.009036,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"gd",258,0.777108,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"girchi",17,0.051205,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"greens_geo",3,0.009036,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"mamuli_ena",4,0.012048,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"patriots",3,0.009036,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1003,1,"strong_georgia",29,0.087349,1162,365,141,307,0.314114,0.121343,0.2642,33,0.090411
1004,1,"conservatives_geo",17,0.043038,1533,413,151,369,0.269406,0.0985,0.240705,18,0.043584
1004,1,"free_georgia",3,0.007595,1533,413,151,369,0.269406,0.0985,0.240705,18,0.043584
