precinct_id,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1001,1,მთაწმინდის,1,unm,არჩილ გეგენავა,270,0.2964,1489,948,444,829,0.6367,0.2982,0.5567,13,0.0137
1001,1001,1,მთაწმინდის,1,workers_socialist,ტიტიკო ლეფსაია,2,0.0022,1489,948,444,829,0.6367,0.2982,0.5567,13,0.0137
1001,1001,1,მთაწმინდის,1,labour,პაატა ჩოხელი,13,0.0143,1489,948,444,829,0.6367,0.2982,0.5567,13,0.0137
1001,1001,1,მთაწმინდის,1,gd,ზაზა პაპუაშვილი,626,0.6872,1489,948,444,829,0.6367,0.2982,0.5567,13,0.0137
1002,1002,1,მთაწმინდის,2,unm,არჩილ გეგენავა,290,0.3507,1311,850,296,730,0.6484,0.2258,0.5568,23,0.0271
1002,1002,1,მთაწმინდის,2,workers_socialist,ტიტიკო ლეფსაია,1,0.0012,1311,850,296,730,0.6484,0.2258,0.5568,23,0.0271
1002,1002,1,მთაწმინდის,2,labour,პაატა ჩოხელი,9,0.0109,1311,850,296,730,0.6484,0.2258,0.5568,23,0.0271
1002,1002,1,მთაწმინდის,2,gd,ზაზა პაპუაშვილი,527,0.6372,1311,850,296,730,0.6484,0.2258,0.5568,23,0.0271
1003,1003,1,მთაწმინდის,3,unm,არჩილ გეგენავა,326,0.3364,1480,1000,375,895,0.6757,0.2534,0.6047,31,0.031
1003,1003,1,მთაწმინდის,3,workers_socialist,ტიტიკო ლეფსაია,1,0.001,1480,1000,375,895,0.6757,0.2534,0.6047,31,0.031
1003,1003,1,მთაწმინდის,3,labour,პაატა ჩოხელი,11,0.0114,1480,1000,375,895,0.6757,0.2534,0.6047,31,0.031
1003,1003,1,მთაწმინდის,3,gd,ზაზა პაპუაშვილი,631,0.6512,1480,1000,375,895,0.6757,0.2534,0.6047,31,0.031
