district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
39,patriots,ვაჟა ოთარაშვილი,1846,0.0871,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,labour,ზურაბ ქოსაშვილი,569,0.0268,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,communist_stalinist,მამუკა ბაინდურაშვილი,41,0.0019,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,peace_georgia_2016,ნუგზარ გურასპაშვილი,94,0.0044,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,industry_sakartvelo,ირაკლი სირანაშვილი,238,0.0112,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,free_democrats,ვახტანგ ბეჟიტაშვილი,986,0.0465,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,gd,ირაკლი მეზურნიშვილი,9677,0.4565,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
39,smd_only_42,გიორგი ქვრივიშვილი,2896,0.1366,42905,22315,8519,17801,42559,346,0.5201,0.1986,0.4149,966,0.0433
40,burjanadze_democratic,ივანე მაჭარაშვილი,665,0.0282,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,unm,ილია ბურჯანაძე,4609,0.1954,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,patriots,ბონდო მძინარაშვილი,792,0.0336,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,communist_stalinist,ეთერი ტერაშვილი,56,0.0024,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,georgia_2016,გოჩა ხარაული,108,0.0046,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,industry_sakartvelo,თამილა შაბაშვილი,262,0.0111,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,national_forum,ნანა ქვრივიშვილი,238,0.0101,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,free_democrats,ალექსანდრე მსხალაძე,1782,0.0756,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,gd,გიორგი თოთლაძე,12331,0.5229,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,smd_only_42,მარინა კაჟაშვილი,186,0.0079,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
40,smd_only_43,ვასილ ხანიშვილი,2553,0.1083,46653,24809,10030,19486,46382,271,0.5318,0.215,0.4177,1134,0.0457
41,burchuladze,შოთა წკრიალაშვილი,804,0.0328,50768,25503,8781,19551,50395,373,0.5023,0.173,0.3851,864,0.0339
41,burjanadze_democratic,ვახტანგ რაზმაძე,455,0.0185,50768,25503,8781,19551,50395,373,0.5023,0.173,0.3851,864,0.0339
41,unm,ალექსი გოგლიძე,3903,0.1591,50768,25503,8781,19551,50395,373,0.5023,0.173,0.3851,864,0.0339
41,patriots,მამუკა ნოზაძე,757,0.0309,50768,25503,8781,19551,50395,373,0.5023,0.173,0.3851,864,0.0339
41,labour,ვლადიმერ სავანელი,386,0.0157,50768,25503,8781,19551,50395,373,0.5023,0.173,0.3851,864,0.0339
