"district_id","party_id","party_num","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"12","left_alliance","9","ზურაბი სეფიაშვილი",1,125,0.004853,52918,26967,9084,20952,52717,201,0.5096,0.171662,0.395933,1156,0.042867
"12","patriots","8","კობა კუპრაშვილი",1,1356,0.052642,52918,26967,9084,20952,52717,201,0.5096,0.171662,0.395933,1156,0.042867
"12","unm","5","ნიკა ნიჟარაძე",1,2864,0.111184,52918,26967,9084,20952,52717,201,0.5096,0.171662,0.395933,1156,0.042867
"12","vashadze_2017","27","დარეჯანი მაჭავარიანი",1,71,0.002756,52918,26967,9084,20952,52717,201,0.5096,0.171662,0.395933,1156,0.042867
"13","european_georgia","2","მალხაზ ფეიქრიშვილი",1,993,0.072082,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"13","gd","41","გიორგი გოგილაშვილი",1,8201,0.595311,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"13","labour","10","თამაზ სეხნიაშვილი",1,293,0.021269,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"13","patriots","8","ალექსანდრე ბურდულაძე",1,1027,0.07455,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"13","unm","5","ნონა ნინიაშვილი",1,3193,0.23178,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"13","vashadze_2017","27","ვასილ მუნჯიშვილი",1,69,0.005009,30332,14278,5078,11669,30061,271,0.470724,0.167414,0.384709,470,0.032918
"14","european_georgia","2","ივანე შანშიაშვილი",1,918,0.091745,22126,10500,3529,8615,21939,187,0.474555,0.159496,0.389361,482,0.045905
"14","gd","41","ნიკოლოზ ჯანიაშვილი",1,6549,0.654507,22126,10500,3529,8615,21939,187,0.474555,0.159496,0.389361,482,0.045905
"14","patriots","8","ზაქარია სეხნიაშვილი",1,744,0.074355,22126,10500,3529,8615,21939,187,0.474555,0.159496,0.389361,482,0.045905
"14","unm","5","ლევან ბაღაშვილი",1,1758,0.175695,22126,10500,3529,8615,21939,187,0.474555,0.159496,0.389361,482,0.045905
"14","vashadze_2017","27","დაუსიკ ჰოვსეფიან",1,37,0.003698,22126,10500,3529,8615,21939,187,0.474555,0.159496,0.389361,482,0.045905
"15","european_georgia","2","გიორგი ენუქიძე",1,1981,0.11697,38773,18057,6757,14721,38569,204,0.465711,0.174271,0.379671,1072,0.059368
"15","gd","41","ჯონდო მდივნიშვილი",1,10838,0.639939,38773,18057,6757,14721,38569,204,0.465711,0.174271,0.379671,1072,0.059368
"15","unm","5","თორნიკე მაჭარაშვილი",1,3974,0.234648,38773,18057,6757,14721,38569,204,0.465711,0.174271,0.379671,1072,0.059368
"15","vashadze_2017","27","არფენიკ კურკჩიან",1,143,0.008444,38773,18057,6757,14721,38569,204,0.465711,0.174271,0.379671,1072,0.059368
"16","european_georgia","2","გოგიტა წიწრიაშვილი",1,1194,0.079909,28685,15620,5336,12127,28508,177,0.544535,0.186021,0.422765,639,0.040909
"16","gd","41","როსტომ სესიაშვილი",1,9540,0.638469,28685,15620,5336,12127,28508,177,0.544535,0.186021,0.422765,639,0.040909
"16","patriots","8","გიორგი ივანიშვილი",1,1281,0.085731,28685,15620,5336,12127,28508,177,0.544535,0.186021,0.422765,639,0.040909
"16","unm","5","ბესიკი იაშვილი",1,2867,0.191875,28685,15620,5336,12127,28508,177,0.544535,0.186021,0.422765,639,0.040909
"16","vashadze_2017","27","თამარა ჰოვსეპიან",1,60,0.004016,28685,15620,5336,12127,28508,177,0.544535,0.186021,0.422765,639,0.040909
"17","burjanadze_democratic","3","დავით თუშიშვილი",1,498,0.019151,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","communist_stalinist","37","ივანე ბუჩუკური",1,78,0.003,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
