"district_id","party_id","party_num","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","gd","41","გოჩა ჯამარაული",1,16264,72940,24091,7994,18873,71847,1093,1031,0.705658,0.330285,0.109597,0.258747,0.042796
"national","unm","5","ბესიკი კახაბრიშვილი",1,6784,72940,24091,7994,18873,71847,1093,1031,0.294342,0.330285,0.109597,0.258747,0.042796
"21","gd","41","გოჩა ჯამარაული",1,16264,72940,24091,7994,18873,71847,1093,1031,0.705658,0.330285,0.109597,0.258747,0.042796
"21","unm","5","ბესიკი კახაბრიშვილი",1,6784,72940,24091,7994,18873,71847,1093,1031,0.294342,0.330285,0.109597,0.258747,0.042796
