precinct_id,district_id,district_name_en,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
1007,1,Mtatsminda,7,maisashvili,21,0.030479,1351,742,199,618,1306,53,0.549223,0.147298,0.457439,14,0.018868
1007,1,Mtatsminda,7,sarishvili_chanturia,5,0.007257,1351,742,199,618,1306,53,0.549223,0.147298,0.457439,14,0.018868
1008,1,Mtatsminda,8,gachechiladze,386,0.418655,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,saakashvili,342,0.370933,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,patarkatsishvili,69,0.074837,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,natelashvili,62,0.067245,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,gamkrelidze,52,0.056399,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,maisashvili,10,0.010846,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1008,1,Mtatsminda,8,sarishvili_chanturia,1,0.001085,1562,947,300,800,1531,31,0.606274,0.192061,0.512164,24,0.025343
1009,1,Mtatsminda,9,gachechiladze,348,0.496434,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,saakashvili,217,0.309558,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,gamkrelidze,58,0.082739,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,natelashvili,34,0.048502,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,patarkatsishvili,33,0.047076,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,maisashvili,11,0.015692,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1009,1,Mtatsminda,9,sarishvili_chanturia,0,0,1554,754,157,570,1500,56,0.485199,0.10103,0.366795,11,0.014589
1010,1,Mtatsminda,10,gachechiladze,385,0.511288,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
