precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79006,79006,79006,79,ბათუმი,6,adj2008_georgian_politics,0,0,1200,473,143,385,0.3942,0.1192,0.3208,12,0.0254
79006,79006,79006,79,ბათუმი,6,christian_democrats_2008,93,0.2017,1200,473,143,385,0.3942,0.1192,0.3208,12,0.0254
79007,79007,79007,79,ბათუმი,7,adj2008_united_communist,7,0.0218,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,adj2008_kartuli_dasi,22,0.0685,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,industry_sakartvelo,14,0.0436,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,adj2008_chven_tviton,13,0.0405,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,unm,185,0.5763,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,conservatives,0,0,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,adj2008_georgian_politics,0,0,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79007,79007,79007,79,ბათუმი,7,christian_democrats_2008,80,0.2492,1041,337,95,279,0.3237,0.0913,0.268,14,0.0415
79008,79008,79008,79,ბათუმი,8,adj2008_united_communist,15,0.0365,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,adj2008_kartuli_dasi,27,0.0657,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,industry_sakartvelo,7,0.017,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,adj2008_chven_tviton,12,0.0292,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,unm,279,0.6788,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,conservatives,0,0,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,adj2008_georgian_politics,0,0,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79008,79008,79008,79,ბათუმი,8,christian_democrats_2008,71,0.1727,1462,430,163,368,0.2941,0.1115,0.2517,19,0.0442
79009,79009,79009,79,ბათუმი,9,adj2008_united_communist,11,0.0294,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,adj2008_kartuli_dasi,23,0.0615,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,industry_sakartvelo,21,0.0561,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,adj2008_chven_tviton,19,0.0508,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,unm,235,0.6283,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,conservatives,0,0,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,adj2008_georgian_politics,0,0,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79009,79009,79009,79,ბათუმი,9,christian_democrats_2008,65,0.1738,1361,396,114,329,0.291,0.0838,0.2417,22,0.0556
79010,79010,79010,79,ბათუმი,10,adj2008_united_communist,19,0.037,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,adj2008_kartuli_dasi,29,0.0565,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,industry_sakartvelo,22,0.0429,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,adj2008_chven_tviton,4,0.0078,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,unm,378,0.7368,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,conservatives,0,0,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,adj2008_georgian_politics,0,0,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79010,79010,79010,79,ბათუმი,10,christian_democrats_2008,61,0.1189,1407,540,143,440,0.3838,0.1016,0.3127,27,0.05
79011,79011,79011,79,ბათუმი,11,adj2008_united_communist,8,0.0216,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,adj2008_kartuli_dasi,19,0.0512,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,industry_sakartvelo,8,0.0216,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,adj2008_chven_tviton,7,0.0189,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,unm,250,0.6739,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,conservatives,0,0,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,adj2008_georgian_politics,0,0,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79011,79011,79011,79,ბათუმი,11,christian_democrats_2008,79,0.2129,1201,393,139,342,0.3272,0.1157,0.2848,22,0.056
79012,79012,79012,79,ბათუმი,12,adj2008_united_communist,17,0.0385,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,adj2008_kartuli_dasi,16,0.0362,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,industry_sakartvelo,8,0.0181,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,adj2008_chven_tviton,12,0.0271,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,unm,310,0.7014,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,conservatives,0,0,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,adj2008_georgian_politics,0,0,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79012,79012,79012,79,ბათუმი,12,christian_democrats_2008,79,0.1787,1445,469,152,397,0.3246,0.1052,0.2747,27,0.0576
79013,79013,79013,79,ბათუმი,13,adj2008_united_communist,15,0.0365,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
