district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
2,ვაკის,ndp_2012,92,0.0013,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,new_rights_2012,639,0.009,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,peoples_movement_2012,10,0.0001,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,peoples_party,26,0.0004,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,sports_union_2012,82,0.0012,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,unm,16728,0.2362,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
2,ვაკის,workers_socialist,35,0.0005,102116,72637,26201,61365,99240,2876,0.7113,0.2566,0.6009,1777,0.0245
3,საბურთალოს,christian_democrats_2012,1047,0.0116,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,fair_georgia_2012,56,0.0006,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,free_georgia,358,0.004,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,freedom_gamsakhurdia,51,0.0006,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,future_georgia,15,0.0002,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,gd,63516,0.7063,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,georgian_group,458,0.0051,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,kostava_society,97,0.0011,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,labour,980,0.0109,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,ndp_2012,123,0.0014,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,new_rights_2012,516,0.0057,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
