precinct_id,precinct_key,smd,dd,pp,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
6667080,66.67.79,66,67,79,6667080,burchuladze,4,0.0071,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,progressive_democratic_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,burjanadze_democratic,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,georgian_group,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,unm,165,0.2946,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,republicans_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,mechiauri_united,2,0.0036,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,patriots,1,0.0018,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,labour,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,peoples_power_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,communist_stalinist,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,peace_georgia_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,workers_socialist,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,united_communist_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,georgia_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,georgian_idea,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,industry_sakartvelo,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,kostava_society,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,chvenni_peoples,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,left_alliance_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,national_forum,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,free_democrats,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,zviads_way,1,0.0018,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,our_georgia_2016,0,0,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667080,66.67.79,66,67,79,6667080,gd,387,0.6911,928,565,174,432,0.6088,0.1875,0.4655,5,0.0088
6667110,66.67.108,66,67,108,6667110,burchuladze,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,progressive_democratic_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,burjanadze_democratic,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,georgian_group,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,unm,117,0.274,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,republicans_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,mechiauri_united,1,0.0023,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,patriots,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,labour,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,peoples_power_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,communist_stalinist,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,peace_georgia_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,workers_socialist,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,united_communist_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,georgia_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,georgian_idea,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,industry_sakartvelo,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,kostava_society,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,chvenni_peoples,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,left_alliance_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,national_forum,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,free_democrats,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,zviads_way,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,our_georgia_2016,0,0,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
6667110,66.67.108,66,67,108,6667110,gd,309,0.7237,782,440,183,365,0.5627,0.234,0.4668,12,0.0273
