"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"1","unm",85858,926416,343582,117125,268269,918667,7749,14151,0.26114,0.370872,0.126428,0.289577,0.041187
"1","veterans_patriots_2014",2399,926416,343582,117125,268269,918667,7749,14151,0.007297,0.370872,0.126428,0.289577,0.041187
"1","workers_council_2014",386,926416,343582,117125,268269,918667,7749,14151,0.001174,0.370872,0.126428,0.289577,0.041187
"11","burjanadze_united_opposition_2014",1177,45892,18926,7359,14579,45533,359,1600,0.068058,0.412403,0.160355,0.317681,0.08454
"11","christian_democrats_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","freedom_zviads_way_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","future_georgia_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","gd",9389,45892,18926,7359,14579,45533,359,1600,0.542905,0.412403,0.160355,0.317681,0.08454
"11","georgian_party_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","georgias_way_2014",148,45892,18926,7359,14579,45533,359,1600,0.008558,0.412403,0.160355,0.317681,0.08454
"11","greens_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","kostava_society",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","labour",691,45892,18926,7359,14579,45533,359,1600,0.039956,0.412403,0.160355,0.317681,0.08454
"11","nonparliamentary_opposition_2014",552,45892,18926,7359,14579,45533,359,1600,0.031919,0.412403,0.160355,0.317681,0.08454
"11","our_georgia_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","patriots",1099,45892,18926,7359,14579,45533,359,1600,0.063548,0.412403,0.160355,0.317681,0.08454
"11","peoples_movement_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","peoples_party_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","reformers_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","sakhalkho_party_2014",149,45892,18926,7359,14579,45533,359,1600,0.008616,0.412403,0.160355,0.317681,0.08454
"11","self_governance_people_2014",308,45892,18926,7359,14579,45533,359,1600,0.01781,0.412403,0.160355,0.317681,0.08454
"11","ufali_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","unity_hall_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"11","unm",3633,45892,18926,7359,14579,45533,359,1600,0.210073,0.412403,0.160355,0.317681,0.08454
"11","veterans_patriots_2014",148,45892,18926,7359,14579,45533,359,1600,0.008558,0.412403,0.160355,0.317681,0.08454
"11","workers_council_2014",0,45892,18926,7359,14579,45533,359,1600,0,0.412403,0.160355,0.317681,0.08454
"12","burjanadze_united_opposition_2014",3066,54361,25538,8620,18147,54147,214,1121,0.125743,0.469785,0.15857,0.333824,0.043895
"12","christian_democrats_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","freedom_zviads_way_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","future_georgia_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","gd",13109,54361,25538,8620,18147,54147,214,1121,0.537629,0.469785,0.15857,0.333824,0.043895
"12","georgian_party_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","georgias_way_2014",284,54361,25538,8620,18147,54147,214,1121,0.011647,0.469785,0.15857,0.333824,0.043895
"12","greens_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","kostava_society",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","labour",1216,54361,25538,8620,18147,54147,214,1121,0.049871,0.469785,0.15857,0.333824,0.043895
"12","nonparliamentary_opposition_2014",326,54361,25538,8620,18147,54147,214,1121,0.01337,0.469785,0.15857,0.333824,0.043895
"12","our_georgia_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","patriots",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","peoples_movement_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","peoples_party_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","reformers_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","sakhalkho_party_2014",105,54361,25538,8620,18147,54147,214,1121,0.004306,0.469785,0.15857,0.333824,0.043895
"12","self_governance_people_2014",599,54361,25538,8620,18147,54147,214,1121,0.024566,0.469785,0.15857,0.333824,0.043895
"12","ufali_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","unity_hall_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"12","unm",5678,54361,25538,8620,18147,54147,214,1121,0.232867,0.469785,0.15857,0.333824,0.043895
"12","veterans_patriots_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
