district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
81,national_forum,214,0.0058,68522,38211,0,0,68152,370,0.5576,0,0,1474,0.0386
81,free_democrats,801,0.0219,68522,38211,0,0,68152,370,0.5576,0,0,1474,0.0386
81,serve_georgia_2016,86,0.0023,68522,38211,0,0,68152,370,0.5576,0,0,1474,0.0386
81,gd,17499,0.478,68522,38211,0,0,68152,370,0.5576,0,0,1474,0.0386
82,burchuladze,277,0.0311,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,burjanadze_democratic,432,0.0486,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,unm,2790,0.3136,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,republicans_2016,198,0.0223,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,mechiauri_united,26,0.0029,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,patriots,361,0.0406,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,labour,164,0.0184,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,peace_georgia_2016,14,0.0016,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,united_communist_2016,5,0.0006,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,industry_sakartvelo,180,0.0202,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,chvenni_peoples,27,0.003,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,national_forum,80,0.009,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,free_democrats,270,0.0303,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,serve_georgia_2016,77,0.0087,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
82,gd,3996,0.4491,15152,9142,0,0,15024,128,0.6034,0,0,234,0.0256
83,burchuladze,696,0.0312,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,burjanadze_democratic,1830,0.0821,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,unm,6482,0.2909,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,republicans_2016,192,0.0086,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,mechiauri_united,52,0.0023,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,patriots,1394,0.0626,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,labour,722,0.0324,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,peace_georgia_2016,35,0.0016,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,united_communist_2016,61,0.0027,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,industry_sakartvelo,262,0.0118,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,chvenni_peoples,55,0.0025,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,national_forum,465,0.0209,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,free_democrats,575,0.0258,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,serve_georgia_2016,333,0.0149,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
83,gd,9127,0.4096,45956,23264,0,0,45581,375,0.5062,0,0,880,0.0378
84,burchuladze,737,0.0542,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,burjanadze_democratic,815,0.0599,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,unm,4071,0.2993,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,republicans_2016,250,0.0184,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,mechiauri_united,16,0.0012,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,patriots,230,0.0169,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,labour,225,0.0165,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,peace_georgia_2016,16,0.0012,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,united_communist_2016,5,0.0004,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,industry_sakartvelo,239,0.0176,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,chvenni_peoples,26,0.0019,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,national_forum,50,0.0037,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,free_democrats,445,0.0327,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,serve_georgia_2016,42,0.0031,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
84,gd,6433,0.473,24065,14060,0,0,23961,104,0.5843,0,0,409,0.0291
