district_id,district_name_ka,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,ეროვნული,christian_democrats_2012,,49384,0.0231,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,fair_georgia_2012,,4203,0.002,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,free_georgia,,9843,0.0046,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,freedom_gamsakhurdia,,212,0.0001,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,future_georgia,,951,0.0004,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,gd,,1141404,0.5346,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,georgian_group,,4127,0.0019,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,initiative_group,,552,0.0003,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,kostava_society,,711,0.0003,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,labour,,20105,0.0094,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,ndp_2012,,1380,0.0006,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,new_rights_2012,,14434,0.0068,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,sports_union_2012,,64,0,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,unm,,887116,0.4155,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
national,ეროვნული,workers_socialist,,409,0.0002,3695898,2210830,921307,1881247,3613851,82047,0.5982,0.2493,0.509,67451,0.0305
1,მთაწმინდის,gd,ზაზა პაპუაშვილი,24158,0.6146,56398,40594,14698,34167,52370,4028,0.7198,0.2606,0.6058,1189,0.0293
1,მთაწმინდის,labour,პაატა ჩოხელი,436,0.0111,56398,40594,14698,34167,52370,4028,0.7198,0.2606,0.6058,1189,0.0293
1,მთაწმინდის,unm,არჩილ გეგენავა,14597,0.3714,56398,40594,14698,34167,52370,4028,0.7198,0.2606,0.6058,1189,0.0293
1,მთაწმინდის,workers_socialist,ტიტიკო ლეფსაია,116,0.003,56398,40594,14698,34167,52370,4028,0.7198,0.2606,0.6058,1189,0.0293
2,ვაკის,christian_democrats_2012,ნინო გურიელი,706,0.01,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,free_georgia,კახა კუკავა,925,0.0131,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,future_georgia,დავით თორდუა,50,0.0007,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,gd,შალვა შავგულიძე,49141,0.6972,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,labour,ლეილა გაფრინდაშვილი,477,0.0068,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,ndp_2012,გენადი კვაჭანტირაძე,76,0.0011,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,new_rights_2012,დავით გამყრელიძე,1124,0.0159,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,unm,გიორგი კარბელაშვილი,17913,0.2542,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
2,ვაკის,workers_socialist,როინ ლიპარტელიანი,68,0.001,101961,72572,26209,61332,99240,2721,0.7118,0.257,0.6015,1809,0.0249
3,საბურთალოს,christian_democrats_2012,ნოდარ სარჯველაძე,938,0.0105,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,free_georgia,ნანა დევდარიანი,832,0.0093,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,gd,დავით უსუფაშვილი,58997,0.6609,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,georgian_group,ჯონდო ბაღათურია,4127,0.0462,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,kostava_society,გიორგი ლილუაშვილი,169,0.0019,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,labour,სიმონ პეტრიაშვილი,739,0.0083,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,ndp_2012,გურამ ჩახვაძე,280,0.0031,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,new_rights_2012,მამუკა კაციტაძე,778,0.0087,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,unm,ანდრია ურუშაძე,22339,0.2503,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
3,საბურთალოს,workers_socialist,ამირან ლუაშვილი,63,0.0007,133567,92134,33614,75887,128545,5022,0.6898,0.2517,0.5682,2461,0.0267
4,კრწანისის,christian_democrats_2012,ზაზა გაბუნია,387,0.0147,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
4,კრწანისის,fair_georgia_2012,ხვიჩა ასანიძე,63,0.0024,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
4,კრწანისის,gd,შოთა ხაბარელი,15052,0.5718,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
4,კრწანისის,labour,კონსტანტინე გუგუშვილი,247,0.0094,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
4,კრწანისის,new_rights_2012,ლევან ხურცილავა,218,0.0083,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
4,კრწანისის,unm,დავით საყვარელიძე,10356,0.3934,48888,27292,10028,22020,47039,1849,0.5583,0.2051,0.4504,828,0.0303
5,ისნის,christian_democrats_2012,ლევან ვეფხვაძე,1269,0.0202,118701,65124,25965,56104,117804,897,0.5486,0.2187,0.4726,1671,0.0257
5,ისნის,fair_georgia_2012,ანა უსტიაშვილი,159,0.0025,118701,65124,25965,56104,117804,897,0.5486,0.2187,0.4726,1671,0.0257
5,ისნის,free_georgia,გელა კეტაშვილი,262,0.0042,118701,65124,25965,56104,117804,897,0.5486,0.2187,0.4726,1671,0.0257
