precinct_id,precinct_key,district_id,electoral_district_id,vote_type,district_name_ka,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
79054,79054,79054,79,pr,ბათუმი,54,1110,341,0.3072,182,308,1098,12,0.164,0.2775,26,0.0762
79055,79055,79055,79,pr,ბათუმი,55,1317,363,0.2756,163,318,1304,13,0.1238,0.2415,19,0.0523
79056,79056,79056,79,pr,ბათუმი,56,1524,483,0.3169,191,388,1515,9,0.1253,0.2546,25,0.0518
79057,79057,79057,79,pr,ბათუმი,57,1421,475,0.3343,215,435,1410,11,0.1513,0.3061,16,0.0337
79058,79058,79058,79,pr,ბათუმი,58,1453,439,0.3021,200,366,1442,11,0.1376,0.2519,14,0.0319
79059,79059,79059,79,pr,ბათუმი,59,1307,410,0.3137,201,360,1297,10,0.1538,0.2754,9,0.022
79060,79060,79060,79,pr,ბათუმი,60,1274,344,0.27,160,288,1266,8,0.1256,0.2261,15,0.0436
79061,79061,79061,79,pr,ბათუმი,61,1521,485,0.3189,191,400,1511,10,0.1256,0.263,16,0.033
79062,79062,79062,79,pr,ბათუმი,62,1504,475,0.3158,198,409,1492,12,0.1316,0.2719,17,0.0358
79063,79063,79063,79,pr,ბათუმი,63,1263,365,0.289,130,320,1254,9,0.1029,0.2534,26,0.0712
79064,79064,79064,79,pr,ბათუმი,64,1233,359,0.2912,146,340,1224,9,0.1184,0.2758,5,0.0139
79065,79065,79065,79,pr,ბათუმი,65,1472,443,0.301,170,376,1460,12,0.1155,0.2554,16,0.0361
79066,79066,79066,79,pr,ბათუმი,66,1117,294,0.2632,96,240,1106,11,0.0859,0.2149,22,0.0748
79067,79067,79067,79,pr,ბათუმი,67,1477,407,0.2756,179,337,1466,11,0.1212,0.2282,14,0.0344
79068,79068,79068,79,pr,ბათუმი,68,1378,462,0.3353,173,390,1369,9,0.1255,0.283,28,0.0606
79069,79069,79069,79,pr,ბათუმი,69,1084,349,0.322,184,304,1072,12,0.1697,0.2804,10,0.0287
79070,79070,79070,79,pr,ბათუმი,70,737,262,0.3555,110,238,728,9,0.1493,0.3229,8,0.0305
79071,79071,79071,79,pr,ბათუმი,71,1550,432,0.2787,150,330,1540,10,0.0968,0.2129,25,0.0579
79072,79072,79072,79,pr,ბათუმი,72,1511,272,0.18,126,244,1500,11,0.0834,0.1615,15,0.0551
79073,79073,79073,79,pr,ბათუმი,73,1105,282,0.2552,100,250,1093,12,0.0905,0.2262,15,0.0532
79074,79074,79074,79,pr,ბათუმი,74,861,393,0.4564,235,390,460,401,0.2729,0.453,6,0.0153
79075,79075,79075,79,pr,ბათუმი,75,0,0,0,0,0,0,0,0,0,0,0
80001,80001,80001,80,pr,ქედა,1,1252,594,0.4744,194,471,1249,3,0.155,0.3762,17,0.0286
80002,80002,80002,80,pr,ქედა,2,825,510,0.6182,152,372,811,14,0.1842,0.4509,8,0.0157
80003,80003,80003,80,pr,ქედა,3,312,226,0.7244,125,186,306,6,0.4006,0.5962,5,0.0221
80004,80004,80004,80,pr,ქედა,4,469,265,0.565,78,202,467,2,0.1663,0.4307,10,0.0377
80005,80005,80005,80,pr,ქედა,5,296,188,0.6351,80,175,293,3,0.2703,0.5912,3,0.016
80006,80006,80006,80,pr,ქედა,6,410,274,0.6683,55,164,407,3,0.1341,0.4,5,0.0182
80007,80007,80007,80,pr,ქედა,7,325,222,0.6831,76,206,322,3,0.2338,0.6338,9,0.0405
80008,80008,80008,80,pr,ქედა,8,266,192,0.7218,79,123,262,4,0.297,0.4624,4,0.0208
80009,80009,80009,80,pr,ქედა,9,910,286,0.3143,80,228,909,1,0.0879,0.2505,4,0.014
80010,80010,80010,80,pr,ქედა,10,610,355,0.582,120,265,607,3,0.1967,0.4344,10,0.0282
80011,80011,80011,80,pr,ქედა,11,359,228,0.6351,88,193,356,3,0.2451,0.5376,14,0.0614
80012,80012,80012,80,pr,ქედა,12,408,274,0.6716,81,194,403,5,0.1985,0.4755,8,0.0292
80013,80013,80013,80,pr,ქედა,13,466,314,0.6738,102,236,462,4,0.2189,0.5064,4,0.0127
80014,80014,80014,80,pr,ქედა,14,644,395,0.6134,160,307,639,5,0.2484,0.4767,12,0.0304
80015,80015,80015,80,pr,ქედა,15,559,491,0.8784,115,270,558,1,0.2057,0.483,3,0.0061
80016,80016,80016,80,pr,ქედა,16,742,422,0.5687,139,283,740,2,0.1873,0.3814,1,0.0024
80017,80017,80017,80,pr,ქედა,17,551,329,0.5971,140,279,550,1,0.2541,0.5064,3,0.0091
80018,80018,80018,80,pr,ქედა,18,866,678,0.7829,185,505,862,4,0.2136,0.5831,0,0
80019,80019,80019,80,pr,ქედა,19,172,143,0.8314,60,97,167,5,0.3488,0.564,2,0.014
80020,80020,80020,80,pr,ქედა,20,502,384,0.7649,134,299,499,3,0.2669,0.5956,3,0.0078
80021,80021,80021,80,pr,ქედა,21,269,206,0.7658,80,150,267,2,0.2974,0.5576,1,0.0049
80022,80022,80022,80,pr,ქედა,22,510,319,0.6255,135,240,509,1,0.2647,0.4706,8,0.0251
80023,80023,80023,80,pr,ქედა,23,420,398,0.9476,162,303,418,2,0.3857,0.7214,15,0.0377
80024,80024,80024,80,pr,ქედა,24,235,163,0.6936,55,115,232,3,0.234,0.4894,2,0.0123
80025,80025,80025,80,pr,ქედა,25,544,453,0.8327,135,400,539,5,0.2482,0.7353,3,0.0066
80026,80026,80026,80,pr,ქედა,26,534,331,0.6199,153,255,532,2,0.2865,0.4775,8,0.0242
80027,80027,80027,80,pr,ქედა,27,522,462,0.8851,139,356,519,3,0.2663,0.682,0,0
80028,80028,80028,80,pr,ქედა,28,364,304,0.8352,98,211,361,3,0.2692,0.5797,0,0
80029,80029,80029,80,pr,ქედა,29,874,457,0.5229,170,366,871,3,0.1945,0.4188,2,0.0044
80030,80030,80030,80,pr,ქედა,30,322,259,0.8043,76,82,320,2,0.236,0.2547,4,0.0154
80031,80031,80031,80,pr,ქედა,31,501,315,0.6287,115,241,496,5,0.2295,0.481,4,0.0127
81001,81001,81001,81,pr,ქობულეთი,1,690,356,0.5159,110,255,683,7,0.1594,0.3696,12,0.0337
81002,81002,81002,81,pr,ქობულეთი,2,1185,376,0.3173,141,329,1165,20,0.119,0.2776,11,0.0293
81003,81003,81003,81,pr,ქობულეთი,3,976,307,0.3145,102,252,967,9,0.1045,0.2582,7,0.0228
81004,81004,81004,81,pr,ქობულეთი,4,1371,530,0.3866,175,432,1363,8,0.1276,0.3151,23,0.0434
81005,81005,81005,81,pr,ქობულეთი,5,701,239,0.3409,109,194,689,12,0.1555,0.2767,6,0.0251
81006,81006,81006,81,pr,ქობულეთი,6,532,253,0.4756,63,192,527,5,0.1184,0.3609,13,0.0514
81007,81007,81007,81,pr,ქობულეთი,7,1253,433,0.3456,137,317,1246,7,0.1093,0.253,18,0.0416
81008,81008,81008,81,pr,ქობულეთი,8,774,281,0.363,102,200,760,14,0.1318,0.2584,9,0.032
81009,81009,81009,81,pr,ქობულეთი,9,1245,539,0.4329,146,436,1235,10,0.1173,0.3502,15,0.0278
81010,81010,81010,81,pr,ქობულეთი,10,1328,587,0.442,185,458,1324,4,0.1393,0.3449,12,0.0204
81011,81011,81011,81,pr,ქობულეთი,11,1687,1357,0.8044,255,810,1683,4,0.1512,0.4801,6,0.0044
81012,81012,81012,81,pr,ქობულეთი,12,1343,688,0.5123,210,503,1339,4,0.1564,0.3745,11,0.016
81013,81013,81013,81,pr,ქობულეთი,13,941,460,0.4888,151,327,939,2,0.1605,0.3475,35,0.0761
81014,81014,81014,81,pr,ქობულეთი,14,1653,601,0.3636,202,520,1648,5,0.1222,0.3146,22,0.0366
81015,81015,81015,81,pr,ქობულეთი,15,1660,579,0.3488,261,456,1651,9,0.1572,0.2747,7,0.0121
81016,81016,81016,81,pr,ქობულეთი,16,1597,642,0.402,310,514,1593,4,0.1941,0.3219,18,0.028
81017,81017,81017,81,pr,ქობულეთი,17,1207,683,0.5659,270,579,1203,4,0.2237,0.4797,2,0.0029
81018,81018,81018,81,pr,ქობულეთი,18,669,424,0.6338,140,372,666,3,0.2093,0.5561,2,0.0047
81019,81019,81019,81,pr,ქობულეთი,19,1564,614,0.3926,213,476,1562,2,0.1362,0.3043,26,0.0423
81020,81020,81020,81,pr,ქობულეთი,20,1103,561,0.5086,151,403,1102,1,0.1369,0.3654,14,0.025
81021,81021,81021,81,pr,ქობულეთი,21,1432,510,0.3561,250,408,1428,4,0.1746,0.2849,10,0.0196
81022,81022,81022,81,pr,ქობულეთი,22,1170,377,0.3222,155,370,1165,5,0.1325,0.3162,54,0.1432
81023,81023,81023,81,pr,ქობულეთი,23,1226,663,0.5408,227,510,1224,2,0.1852,0.416,11,0.0166
81024,81024,81024,81,pr,ქობულეთი,24,1119,336,0.3003,180,301,1109,10,0.1609,0.269,7,0.0208
81025,81025,81025,81,pr,ქობულეთი,25,774,343,0.4432,122,302,770,4,0.1576,0.3902,7,0.0204
81026,81026,81026,81,pr,ქობულეთი,26,1565,659,0.4211,232,447,1562,3,0.1482,0.2856,16,0.0243
81027,81027,81027,81,pr,ქობულეთი,27,1560,691,0.4429,235,486,1556,4,0.1506,0.3115,8,0.0116
81028,81028,81028,81,pr,ქობულეთი,28,771,313,0.406,103,219,764,7,0.1336,0.284,5,0.016
81029,81029,81029,81,pr,ქობულეთი,29,1557,786,0.5048,300,720,1551,6,0.1927,0.4624,19,0.0242
81030,81030,81030,81,pr,ქობულეთი,30,1285,395,0.3074,102,260,1281,4,0.0794,0.2023,5,0.0127
81031,81031,81031,81,pr,ქობულეთი,31,1621,634,0.3911,230,490,1620,1,0.1419,0.3023,16,0.0252
81032,81032,81032,81,pr,ქობულეთი,32,1140,531,0.4658,180,415,1138,2,0.1579,0.364,13,0.0245
81033,81033,81033,81,pr,ქობულეთი,33,641,372,0.5803,152,280,639,2,0.2371,0.4368,1,0.0027
81034,81034,81034,81,pr,ქობულეთი,34,1119,364,0.3253,152,260,1114,5,0.1358,0.2324,19,0.0522
81035,81035,81035,81,pr,ქობულეთი,35,915,544,0.5945,240,480,913,2,0.2623,0.5246,2,0.0037
81036,81036,81036,81,pr,ქობულეთი,36,1201,812,0.6761,300,580,1199,2,0.2498,0.4829,3,0.0037
81037,81037,81037,81,pr,ქობულეთი,37,207,111,0.5362,50,105,201,6,0.2415,0.5072,9,0.0811
81038,81038,81038,81,pr,ქობულეთი,38,1119,462,0.4129,165,358,1116,3,0.1475,0.3199,7,0.0152
81039,81039,81039,81,pr,ქობულეთი,39,496,259,0.5222,46,229,493,3,0.0927,0.4617,10,0.0386
81040,81040,81040,81,pr,ქობულეთი,40,592,320,0.5405,125,291,587,5,0.2111,0.4916,1,0.0031
81041,81041,81041,81,pr,ქობულეთი,41,1324,623,0.4705,220,462,1322,2,0.1662,0.3489,1,0.0016
81042,81042,81042,81,pr,ქობულეთი,42,1107,541,0.4887,122,378,1103,4,0.1102,0.3415,6,0.0111
81043,81043,81043,81,pr,ქობულეთი,43,1328,528,0.3976,173,405,1322,6,0.1303,0.305,21,0.0398
81044,81044,81044,81,pr,ქობულეთი,44,1614,553,0.3426,237,433,1611,3,0.1468,0.2683,21,0.038
81045,81045,81045,81,pr,ქობულეთი,45,835,333,0.3988,75,224,832,3,0.0898,0.2683,5,0.015
81046,81046,81046,81,pr,ქობულეთი,46,1517,891,0.5873,326,639,1514,3,0.2149,0.4212,20,0.0224
81047,81047,81047,81,pr,ქობულეთი,47,1103,570,0.5168,118,362,1100,3,0.107,0.3282,6,0.0105
81048,81048,81048,81,pr,ქობულეთი,48,1603,570,0.3556,220,446,1596,7,0.1372,0.2782,17,0.0298
81049,81049,81049,81,pr,ქობულეთი,49,999,373,0.3734,132,300,995,4,0.1321,0.3003,9,0.0241
81050,81050,81050,81,pr,ქობულეთი,50,983,409,0.4161,172,380,979,4,0.175,0.3866,8,0.0196
81051,81051,81051,81,pr,ქობულეთი,51,605,310,0.5124,75,169,601,4,0.124,0.2793,9,0.029
81052,81052,81052,81,pr,ქობულეთი,52,815,276,0.3387,121,194,805,10,0.1485,0.238,2,0.0072
81053,81053,81053,81,pr,ქობულეთი,53,999,250,0.2503,72,169,990,9,0.0721,0.1692,11,0.044
81054,81054,81054,81,pr,ქობულეთი,54,1482,655,0.442,159,366,1191,291,0.1073,0.247,30,0.0458
81056,81056,81056,81,pr,ქობულეთი,56,909,509,0.56,215,427,906,3,0.2365,0.4697,12,0.0236
81057,81057,81057,81,pr,ქობულეთი,57,534,243,0.4551,74,231,528,6,0.1386,0.4326,6,0.0247
81058,81058,81058,81,pr,ქობულეთი,58,864,374,0.4329,140,285,859,5,0.162,0.3299,24,0.0642
81059,81059,81059,81,pr,ქობულეთი,59,856,399,0.4661,154,326,850,6,0.1799,0.3808,4,0.01
81060,81060,81060,81,pr,ქობულეთი,60,1240,222,0.179,51,132,1230,10,0.0411,0.1065,7,0.0315
81061,81061,81061,81,pr,ქობულეთი,61,1066,330,0.3096,150,250,1059,7,0.1407,0.2345,1,0.003
81062,81062,81062,81,pr,ქობულეთი,62,722,306,0.4238,97,203,720,2,0.1343,0.2812,10,0.0327
81063,81063,81063,81,pr,ქობულეთი,63,0,0,0,0,0,0,0,0,0,0,0
82001,82001,82001,82,pr,შუახევი,1,690,334,0.4841,90,295,684,6,0.1304,0.4275,19,0.0569
82002,82002,82002,82,pr,შუახევი,2,275,186,0.6764,52,120,271,4,0.1891,0.4364,3,0.0161
82003,82003,82003,82,pr,შუახევი,3,338,264,0.7811,82,187,335,3,0.2426,0.5533,0,0
82004,82004,82004,82,pr,შუახევი,4,452,352,0.7788,147,265,449,3,0.3252,0.5863,0,0
82005,82005,82005,82,pr,შუახევი,5,477,351,0.7358,87,227,474,3,0.1824,0.4759,0,0
82006,82006,82006,82,pr,შუახევი,6,379,61,0.1609,11,32,379,0,0.029,0.0844,2,0.0328
82007,82007,82007,82,pr,შუახევი,7,182,32,0.1758,3,17,179,3,0.0165,0.0934,1,0.0313
82008,82008,82008,82,pr,შუახევი,8,149,118,0.7919,36,88,144,5,0.2416,0.5906,1,0.0085
82009,82009,82009,82,pr,შუახევი,9,339,228,0.6726,102,164,335,4,0.3009,0.4838,7,0.0307
82010,82010,82010,82,pr,შუახევი,10,383,268,0.6997,92,178,382,1,0.2402,0.4648,9,0.0336
82011,82011,82011,82,pr,შუახევი,11,150,92,0.6133,27,60,146,4,0.18,0.4,1,0.0109
82012,82012,82012,82,pr,შუახევი,12,213,43,0.2019,22,26,213,0,0.1033,0.1221,4,0.093
82013,82013,82013,82,pr,შუახევი,13,165,28,0.1697,5,16,164,1,0.0303,0.097,1,0.0357
82014,82014,82014,82,pr,შუახევი,14,603,408,0.6766,123,241,600,3,0.204,0.3997,0,0
82015,82015,82015,82,pr,შუახევი,15,538,401,0.7454,87,215,536,2,0.1617,0.3996,14,0.0349
82016,82016,82016,82,pr,შუახევი,16,686,320,0.4665,90,231,684,2,0.1312,0.3367,11,0.0344
82017,82017,82017,82,pr,შუახევი,17,383,61,0.1593,13,34,383,0,0.0339,0.0888,0,0
82018,82018,82018,82,pr,შუახევი,18,218,145,0.6651,68,131,213,5,0.3119,0.6009,0,0
82019,82019,82019,82,pr,შუახევი,19,97,70,0.7216,42,68,91,6,0.433,0.701,2,0.0286
82020,82020,82020,82,pr,შუახევი,20,370,240,0.6486,0,157,366,4,0,0.4243,5,0.0208
82021,82021,82021,82,pr,შუახევი,21,254,220,0.8661,157,203,251,3,0.6181,0.7992,0,0
82022,82022,82022,82,pr,შუახევი,22,146,117,0.8014,90,110,141,5,0.6164,0.7534,2,0.0171
82023,82023,82023,82,pr,შუახევი,23,522,293,0.5613,101,201,516,6,0.1935,0.3851,5,0.0171
82024,82024,82024,82,pr,შუახევი,24,215,182,0.8465,105,161,209,6,0.4884,0.7488,4,0.022
82025,82025,82025,82,pr,შუახევი,25,282,255,0.9043,95,185,279,3,0.3369,0.656,1,0.0039
82026,82026,82026,82,pr,შუახევი,26,233,156,0.6695,83,110,228,5,0.3562,0.4721,1,0.0064
82027,82027,82027,82,pr,შუახევი,27,294,246,0.8367,130,212,290,4,0.4422,0.7211,0,0
82028,82028,82028,82,pr,შუახევი,28,516,277,0.5368,136,212,514,2,0.2636,0.4109,0,0
82029,82029,82029,82,pr,შუახევი,29,298,204,0.6846,63,173,293,5,0.2114,0.5805,4,0.0196
82030,82030,82030,82,pr,შუახევი,30,236,189,0.8008,64,179,232,4,0.2712,0.7585,3,0.0159
82031,82031,82031,82,pr,შუახევი,31,318,238,0.7484,120,200,314,4,0.3774,0.6289,9,0.0378
82032,82032,82032,82,pr,შუახევი,32,218,165,0.7569,69,147,214,4,0.3165,0.6743,0,0
82033,82033,82033,82,pr,შუახევი,33,162,140,0.8642,25,87,156,6,0.1543,0.537,0,0
