district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
national,pr,ეროვნული,3738500,2248787,0.6015,925202,1884705,3658613,79887,0.2475,0.5041,62874,0.028
1,pr,მთაწმინდის,56398,40727,0.7221,14700,34174,52370,4028,0.2606,0.6059,1141,0.028
2,pr,ვაკის,102116,72637,0.7113,26201,61365,99240,2876,0.2566,0.6009,1777,0.0245
3,pr,საბურთალოს,133590,92184,0.6901,33158,75322,128545,5045,0.2482,0.5638,2158,0.0234
4,pr,კრწანისის,48896,27341,0.5592,10408,22020,47039,1857,0.2129,0.4503,786,0.0287
5,pr,ისნის,118699,65159,0.5489,25710,56113,117804,895,0.2166,0.4727,1421,0.0218
6,pr,სამგორის,162296,88906,0.5478,37139,73914,154621,7675,0.2288,0.4554,2283,0.0257
7,pr,ჩუღურეთის,60063,37524,0.6247,14998,32102,58807,1256,0.2497,0.5345,959,0.0256
8,pr,დიდუბის,75457,50194,0.6652,20007,43716,71664,3793,0.2651,0.5793,1347,0.0268
9,pr,ნაძალადევის,141441,87131,0.616,35040,74359,140467,974,0.2477,0.5257,1895,0.0217
10,pr,გლდანის,157068,89280,0.5684,38043,78649,154898,2170,0.2422,0.5007,2080,0.0233
11,pr,საგარეჯოს,46086,24954,0.5415,11046,21480,45774,312,0.2397,0.4661,983,0.0394
12,pr,გურჯაანის,55637,37344,0.6712,14638,31323,55334,303,0.2631,0.563,913,0.0244
13,pr,სიღნაღის,32104,21476,0.669,8501,17439,31767,337,0.2648,0.5432,530,0.0247
14,pr,დედოფლისწყაროს,23557,14334,0.6085,5962,12281,23131,426,0.2531,0.5213,418,0.0292
15,pr,ლაგოდეხის,40211,23912,0.5947,9545,20621,39808,403,0.2374,0.5128,790,0.033
16,pr,ყვარლის,29874,20473,0.6853,7902,17445,29623,251,0.2645,0.584,636,0.0311
17,pr,თელავის,58339,35473,0.608,13583,29187,57940,399,0.2328,0.5003,987,0.0278
18,pr,ახმეტის,31025,18493,0.5961,6992,14954,30822,203,0.2254,0.482,510,0.0276
19,pr,თიანეთის,12434,7593,0.6107,2963,6257,11157,1277,0.2383,0.5032,219,0.0288
20,pr,რუსთავის,112606,66492,0.5905,30158,56865,110544,2062,0.2678,0.505,1718,0.0258
21,pr,გარდაბნის,78493,39234,0.4998,15944,31338,74268,4225,0.2031,0.3992,2325,0.0593
22,pr,მარნეულის,100250,43847,0.4374,20146,37299,98762,1488,0.201,0.3721,2130,0.0486
23,pr,ბოლნისის,58543,28213,0.4819,12492,24678,57971,572,0.2134,0.4215,1520,0.0539
