precinct_id,district_id,registered,voted,turnout_pct,voted_noon,voted_5pm
81040,81040,786,503,0.6399,178,431
81041,81041,955,599,0.6272,206,521
81042,81042,2082,1192,0.5725,406,984
81043,81043,1888,1061,0.562,318,870
81044,81044,1286,891,0.6928,306,793
81045,81045,645,427,0.662,150,378
81046,81046,1212,752,0.6205,263,609
81047,81047,655,442,0.6748,162,377
81048,81048,976,546,0.5594,206,462
81049,81049,892,546,0.6121,222,453
81050,81050,1488,1027,0.6902,305,818
81051,81051,1065,703,0.6601,207,543
81052,81052,1416,874,0.6172,287,700
81053,81053,925,626,0.6768,247,527
81054,81054,1416,792,0.5593,262,669
81055,81055,1401,936,0.6681,319,777
81056,81056,1299,811,0.6243,289,686
81057,81057,905,607,0.6707,188,490
82001,82001,1023,685,0.6696,180,572
82002,82002,217,127,0.5853,27,106
82003,82003,323,239,0.7399,71,192
82004,82004,415,250,0.6024,66,221
82005,82005,463,305,0.6587,57,259
82006,82006,380,305,0.8026,47,203
82007,82007,163,106,0.6503,42,88
82008,82008,110,73,0.6636,12,54
82009,82009,326,220,0.6748,54,167
82010,82010,320,240,0.75,51,201
82011,82011,129,94,0.7287,38,84
82012,82012,200,150,0.75,31,121
82013,82013,155,115,0.7419,52,106
82014,82014,598,395,0.6605,406,329
82015,82015,644,424,0.6584,115,346
82016,82016,614,436,0.7101,136,347
82017,82017,423,295,0.6974,69,249
82018,82018,182,139,0.7637,39,125
82019,82019,96,83,0.8646,41,80
82020,82020,336,226,0.6726,73,201
82021,82021,206,156,0.7573,66,140
82022,82022,123,89,0.7236,52,89
82023,82023,412,313,0.7597,430,1
82024,82024,184,139,0.7554,52,125
82025,82025,255,174,0.6824,5,167
82026,82026,228,150,0.6579,52,125
82027,82027,243,167,0.6872,70,157
82028,82028,462,317,0.6861,37,285
82029,82029,260,199,0.7654,81,190
82030,82030,193,746,3.8653,52,134
82031,82031,300,220,0.7333,94,203
82032,82032,182,131,0.7198,32,114
82033,82033,138,87,0.6304,27,73
82034,82034,239,156,0.6527,0,139
82035,82035,177,95,0.5367,24,76
82036,82036,283,152,0.5371,40,122
82037,82037,247,133,0.5385,37,121
82038,82038,417,272,0.6523,69,220
82039,82039,461,281,0.6095,81,226
82040,82040,258,168,0.6512,34,142
82041,82041,349,217,0.6218,66,167
82042,82042,365,241,0.6603,59,175
82043,82043,394,271,0.6878,50,216
82044,82044,159,139,0.8742,32,107
82045,82045,270,179,0.663,43,135
82046,82046,196,134,0.6837,34,115
82047,82047,213,36,0.169,35,85
82048,82048,92,73,0.7935,17,63
83001,83001,1251,835,0.6675,322,693
83002,83002,1009,668,0.662,213,549
83003,83003,1341,924,0.689,263,767
83004,83004,320,320,1,105,244
83005,83005,2206,1537,0.6967,476,1194
83006,83006,763,541,0.709,162,449
83007,83007,1458,923,0.6331,318,785
83008,83008,832,556,0.6683,220,470
83009,83009,573,379,0.6614,123,320
83010,83010,1277,810,0.6343,267,663
83011,83011,1167,741,0.635,261,631
83012,83012,1277,755,0.5912,260,640
83013,83013,1389,863,0.6213,284,725
83014,83014,1131,729,0.6446,248,600
83015,83015,1261,794,0.6297,263,682
83016,83016,2440,1404,0.5754,487,1189
83017,83017,1774,1045,0.5891,375,900
83018,83018,1158,662,0.5717,252,562
83019,83019,1056,638,0.6042,225,500
83020,83020,931,586,0.6294,211,500
83021,83021,1436,873,0.6079,345,786
83022,83022,539,356,0.6605,137,315
83023,83023,290,290,1,108,247
83024,83024,726,612,0.843,194,526
83025,83025,1195,881,0.7372,285,740
83026,83026,1270,891,0.7016,327,762
83027,83027,1442,1034,0.7171,342,871
83028,83028,1163,811,0.6973,283,687
83029,83029,1001,646,0.6454,214,536
83030,83030,1875,1347,0.7184,427,1118
83031,83031,826,551,0.6671,182,457
83032,83032,1431,912,0.6373,297,755
83033,83033,266,190,0.7143,77,168
83034,83034,1300,931,0.7162,355,774
83035,83035,410,410,1,160,344
83036,83036,536,349,0.6511,88,288
83037,83037,339,258,0.7611,88,230
83038,83038,497,338,0.6801,86,269
83039,83039,328,250,0.7622,110,215
83040,83040,752,598,0.7952,346,509
83041,83041,509,369,0.725,127,322
84001,84001,1614,1138,0.7051,304,876
84002,84002,475,286,0.6021,81,236
84003,84003,365,221,0.6055,54,157
84004,84004,875,588,0.672,144,503
