district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
national,pr,320996,186878,0.5822,57381,146741,314889,6107
79,pr,151934,81388,0.5357,25266,64195,147292,4642
80,pr,15810,11397,0.7209,2982,8633,15722,88
81,pr,68547,41526,0.6058,12734,31872,67831,716
82,pr,15235,10078,0.6615,3192,8159,15119,116
83,pr,45127,27385,0.6068,9155,22050,44697,430
84,pr,24343,15104,0.6205,4052,11832,24228,115
