precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
2019,2,pr,Vake,19,1271,457,0.359559,142,400,1239,42,0.111723,0.314713,4,0.008753
2020,2,pr,Vake,20,304,199,0.654605,84,188,292,12,0.276316,0.618421,8,0.040201
2021,2,pr,Vake,21,745,96,0.128859,34,81,696,55,0.045638,0.108725,1,0.010417
2022,2,pr,Vake,22,1692,819,0.484043,197,587,1603,91,0.11643,0.346927,10,0.01221
2023,2,pr,Vake,23,1346,830,0.616642,196,614,1285,61,0.145617,0.456166,9,0.010843
2024,2,pr,Vake,24,1536,865,0.563151,255,700,1478,60,0.166016,0.455729,12,0.013873
2025,2,pr,Vake,25,1534,928,0.604954,215,774,1505,51,0.140156,0.504563,10,0.010776
2026,2,pr,Vake,26,1419,901,0.634954,222,675,1327,100,0.156448,0.475687,7,0.007769
2027,2,pr,Vake,27,1490,936,0.628188,213,730,1489,53,0.142953,0.489933,6,0.00641
2028,2,pr,Vake,28,1893,1234,0.651875,260,746,2229,21,0.137348,0.394083,21,0.017018
2029,2,pr,Vake,29,1378,822,0.596517,164,667,1344,38,0.119013,0.484035,25,0.030414
2030,2,pr,Vake,30,1484,862,0.580863,202,717,1439,17,0.136119,0.483154,10,0.011601
2031,2,pr,Vake,31,1401,827,0.590293,207,612,1342,71,0.147752,0.436831,42,0.050786
2032,2,pr,Vake,32,1557,968,0.621708,197,687,1455,110,0.126525,0.441233,18,0.018595
2033,2,pr,Vake,33,1538,898,0.583875,213,700,1517,85,0.138492,0.455137,12,0.013363
2034,2,pr,Vake,34,1586,926,0.583859,225,660,1551,39,0.141866,0.416141,8,0.008639
2035,2,pr,Vake,35,1540,869,0.564286,201,677,1488,58,0.130519,0.43961,7,0.008055
2036,2,pr,Vake,36,1581,978,0.618596,245,815,1532,63,0.154965,0.515497,12,0.01227
2037,2,pr,Vake,37,1311,830,0.633105,226,701,1277,42,0.172387,0.534706,15,0.018072
2038,2,pr,Vake,38,1550,873,0.563226,201,700,1494,60,0.129677,0.451613,15,0.017182
2039,2,pr,Vake,39,1501,837,0.557628,215,694,1469,38,0.143238,0.462358,48,0.057348
2040,2,pr,Vake,40,956,587,0.614017,138,485,931,29,0.144351,0.507322,14,0.02385
2041,2,pr,Vake,41,1577,981,0.622067,246,748,1542,39,0.155992,0.474318,19,0.019368
2042,2,pr,Vake,42,1556,852,0.547558,220,685,1502,60,0.141388,0.440231,34,0.039906
2043,2,pr,Vake,43,1559,898,0.57601,220,740,1530,43,0.141116,0.474663,12,0.013363
2044,2,pr,Vake,44,1239,735,0.59322,205,572,1186,62,0.165456,0.461663,9,0.012245
2045,2,pr,Vake,45,1440,849,0.589583,230,712,1426,80,0.159722,0.494444,14,0.01649
2046,2,pr,Vake,46,1427,784,0.549404,200,675,1392,43,0.140154,0.47302,47,0.059949
2047,2,pr,Vake,47,1634,960,0.587515,238,676,1593,61,0.145655,0.413709,19,0.019792
2048,2,pr,Vake,48,1373,728,0.530226,161,612,1326,55,0.117261,0.445739,15,0.020604
2049,2,pr,Vake,49,1464,935,0.638661,173,678,1438,36,0.118169,0.463115,13,0.013904
2050,2,pr,Vake,50,1319,803,0.608795,182,580,1280,43,0.137983,0.439727,9,0.011208
2051,2,pr,Vake,51,1324,744,0.561934,200,630,1285,49,0.151057,0.475831,8,0.010753
2052,2,pr,Vake,52,1310,835,0.637405,178,615,1246,64,0.135878,0.469466,16,0.019162
2053,2,pr,Vake,53,1541,765,0.496431,230,637,1503,38,0.149254,0.413368,6,0.007843
2054,2,pr,Vake,54,1486,888,0.597577,210,663,1458,82,0.141319,0.446164,8,0.009009
2055,2,pr,Vake,55,1511,882,0.583719,250,709,1473,50,0.165453,0.469226,8,0.00907
2056,2,pr,Vake,56,1377,788,0.572259,150,690,1318,71,0.108932,0.501089,12,0.015228
2057,2,pr,Vake,57,1494,753,0.504016,268,650,1449,52,0.179384,0.435074,7,0.009296
2058,2,pr,Vake,58,1557,877,0.563263,195,729,1504,53,0.125241,0.468208,10,0.011403
2059,2,pr,Vake,59,1436,879,0.612117,234,672,1380,84,0.162953,0.467967,17,0.01934
2060,2,pr,Vake,60,1386,828,0.597403,181,650,1349,41,0.130592,0.468975,19,0.022947
2061,2,pr,Vake,61,1351,740,0.547742,162,614,1264,99,0.119911,0.454478,12,0.016216
2062,2,pr,Vake,62,1406,751,0.534139,157,601,1353,63,0.111664,0.427454,8,0.010652
2063,2,pr,Vake,63,1351,777,0.57513,200,594,1333,34,0.148038,0.439674,6,0.007722
2064,2,pr,Vake,64,1001,587,0.586414,130,480,971,40,0.12987,0.47952,29,0.049404
2065,2,pr,Vake,65,1291,511,0.395817,118,457,1264,35,0.091402,0.353989,4,0.007828
2066,2,pr,Vake,66,1332,813,0.61036,221,642,1284,70,0.165916,0.481982,10,0.0123
2067,2,pr,Vake,67,1308,677,0.517584,137,515,1259,71,0.10474,0.393731,5,0.007386
