electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
47,5,5,unm,კანდიდ კვიციანი,კანდიდ,კვიციანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
47,10,10,christian_democrats_2012,რამაზი გერლიანი,რამაზი,გერლიანი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
47,35,35,future_georgia,მაიზერ გელოვანი,მაიზერ,გელოვანი,35. ”მომავალი საქართველო”
47,38,38,labour,ფიქრია ავალიანი,ფიქრია,ავალიანი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
47,41,41,gd,ვიქტორ ჯაფარიძე,ვიქტორ,ჯაფარიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
48,1,1,free_georgia,გულადი ყრუაშვილი,გულადი,ყრუაშვილი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
48,5,5,unm,მამუკა ჭყოიძე,მამუკა,ჭყოიძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
48,10,10,christian_democrats_2012,გიორგი თაბუკაშვილი,გიორგი,თაბუკაშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
48,38,38,labour,პარმენი ბუაძე,პარმენი,ბუაძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
48,41,41,gd,ნოდარი ებანოიძე,ნოდარი,ებანოიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
49,1,1,free_georgia,იაზონ აბულაძე,იაზონ,აბულაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
49,5,5,unm,კახა ბუცხრიკიძე,კახა,ბუცხრიკიძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
49,9,9,fair_georgia_2012,ზურაბ ჯაბიძე,ზურაბ,ჯაბიძე,"9. ""სამართლიანი საქართველოსთვის"""
49,10,10,christian_democrats_2012,გიორგი გიორგაძე,გიორგი,გიორგაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
49,24,24,new_rights_2012,ამირან სოფრომაძე,ამირან,სოფრომაძე,"24. ""ახალი მემარჯვენეები"""
49,38,38,labour,მერაბი ჭუმბურიძე,მერაბი,ჭუმბურიძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
49,41,41,gd,ზაალი გოგსაძე,ზაალი,გოგსაძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
50,5,5,unm,ზურაბ ცერცვაძე,ზურაბ,ცერცვაძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
