electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
19,41,41,gd,ზაქარია ქუცნაშვილი,ზაქარია,ქუცნაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
20,1,1,free_georgia,მალხაზ ბარბაქაძე,მალხაზ,ბარბაქაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
20,4,4,ndp_2012,გოჩა ცეკვაშვილი,გოჩა,ცეკვაშვილი,"4. ""ეროვნულ-დემოკრატიული პარტია"""
20,5,5,unm,მამუკა ჩიქოვანი,მამუკა,ჩიქოვანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
20,9,9,fair_georgia_2012,გელა პოპიაშვილი,გელა,პოპიაშვილი,"9. ""სამართლიანი საქართველოსთვის"""
20,10,10,christian_democrats_2012,ფიქრია ავალიანი,ფიქრია,ავალიანი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
20,24,24,new_rights_2012,ნარგიზი ტაბატაძე,ნარგიზი,ტაბატაძე,"24. ""ახალი მემარჯვენეები"""
20,38,38,labour,კობა ჩალაძე,კობა,ჩალაძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
20,41,41,gd,ზვიად ძიძიგური,ზვიად,ძიძიგური,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
21,5,5,unm,გიორგი ფეიქრიშვილი,გიორგი,ფეიქრიშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
21,10,10,christian_democrats_2012,გიორგი სამჭკუაშვილი,გიორგი,სამჭკუაშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
21,24,24,new_rights_2012,იოსებ ივანაური,იოსებ,ივანაური,"24. ""ახალი მემარჯვენეები"""
21,35,35,future_georgia,გიორგი ლაღიძე,გიორგი,ლაღიძე,35. ”მომავალი საქართველო”
21,38,38,labour,ალექს ბადიროვი,ალექს,ბადიროვი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
21,41,41,gd,მამუკა არეშიძე,მამუკა,არეშიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
