"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
306,3,1,6,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ალექსანდრე ბრეგაძე","ალექსანდრე","ბრეგაძე"
306,3,1,6,"16","future_party_2010","“მომავლის პარტია”","ნათელა ხეცურიანი","ნათელა","ხეცურიანი"
306,3,1,6,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","გიორგი ღლონტი","გიორგი","ღლონტი"
306,3,1,6,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ეზეკი ინწკირველი","ეზეკი","ინწკირველი"
305,3,1,5,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ნათელა მაჭავარიანი","ნათელა","მაჭავარიანი"
305,3,1,5,"3","industry_sakartvelo","თოფაძე-მრეწველები","თეიმურაზ ონიანი","თეიმურაზ","ონიანი"
305,3,1,5,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ზაზა სინაურიძე","ზაზა","სინაურიძე"
305,3,1,5,"7","national_council_2010","“ეროვნული საბჭო”","გიორგი სიხარულიძე","გიორგი","სიხარულიძე"
305,3,1,5,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","მანანა ნოდია","მანანა","ნოდია"
305,3,1,5,"12","our_country_2008","პოლიტიკური პარტია “ჩვენი ქვეყანა”","უშანგი დონჯაშვილი","უშანგი","დონჯაშვილი"
305,3,1,5,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","კარლო ბარდაველიძე","კარლო","ბარდაველიძე"
305,3,1,5,"16","future_party_2010","“მომავლის პარტია”","ვასილ ბეშკენაძე","ვასილ","ბეშკენაძე"
305,3,1,5,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","გოჩა მამულაშვილი","გოჩა","მამულაშვილი"
305,3,1,5,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ზაზა რევიშვილი","ზაზა","რევიშვილი"
305,3,1,5,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ზაქარია კოლელიშვილი","ზაქარია","კოლელიშვილი"
304,3,1,4,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","დავით ზალკალიანი","დავით","ზალკალიანი"
304,3,1,4,"3","industry_sakartvelo","თოფაძე-მრეწველები","დავით ხურცილავა","დავით","ხურცილავა"
304,3,1,4,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ნინო თევდორაძე","ნინო","თევდორაძე"
304,3,1,4,"7","national_council_2010","“ეროვნული საბჭო”","ირაკლი იმნაძე","ირაკლი","იმნაძე"
304,3,1,4,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ირაკლი სეფაშვილი","ირაკლი","სეფაშვილი"
304,3,1,4,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","თამარ დარსაველიძე","თამარ","დარსაველიძე"
304,3,1,4,"16","future_party_2010","“მომავლის პარტია”","ზურაბ ხუციშვილი","ზურაბ","ხუციშვილი"
304,3,1,4,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","რევაზ გოგშელიძე","რევაზ","გოგშელიძე"
304,3,1,4,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","მარინე კოლხიდაშვილი","მარინე","კოლხიდაშვილი"
304,3,1,4,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","მაკა ჭაჭიაშვილი","მაკა","ჭაჭიაშვილი"
407,4,1,7,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","სოფიო ხორგუანი","სოფიო","ხორგუანი"
407,4,1,7,"3","industry_sakartvelo","თოფაძე-მრეწველები","მადონა თურმანიძე","მადონა","თურმანიძე"
407,4,1,7,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","მერაბ რაფავა","მერაბ","რაფავა"
407,4,1,7,"7","national_council_2010","“ეროვნული საბჭო”","ალექსი ყელბერაშვილი","ალექსი","ყელბერაშვილი"
407,4,1,7,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","გიორგი ნეფარიძე","გიორგი","ნეფარიძე"
407,4,1,7,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ლევან გიგიტაშვილი","ლევან","გიგიტაშვილი"
407,4,1,7,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","ოლეგ ზურაბიანი","ოლეგ","ზურაბიანი"
407,4,1,7,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","მანანა ასკურავა","მანანა","ასკურავა"
407,4,1,7,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ლევან დევდარიანი","ლევან","დევდარიანი"
508,5,1,8,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ფიქრია ჩიხრაძე","ფიქრია","ჩიხრაძე"
508,5,1,8,"3","industry_sakartvelo","თოფაძე-მრეწველები","მანანა არაბული","მანანა","არაბული"
508,5,1,8,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ზაალ სამადაშვილი","ზაალ","სამადაშვილი"
508,5,1,8,"7","national_council_2010","“ეროვნული საბჭო”","ირაკლი გოგოლაშვილი","ირაკლი","გოგოლაშვილი"
508,5,1,8,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","ლილი ავალიშვილი","ლილი","ავალიშვილი"
508,5,1,8,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ბადრი ლაზიაშვილი","ბადრი","ლაზიაშვილი"
508,5,1,8,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ლევ სარქისოვი","ლევ","სარქისოვი"
508,5,1,8,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","გურანდა გაჩეჩილაძე","გურანდა","გაჩეჩილაძე"
509,5,1,9,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ამური რევიშვილი","ამური","რევიშვილი"
509,5,1,9,"3","industry_sakartvelo","თოფაძე-მრეწველები","მზია გოგნიაშვილი","მზია","გოგნიაშვილი"
