election_type,mandate_type,party_id,party_label,elected_order,district_id,district_name_ka,name_ka,first_name,last_name
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,1,,,კახაბერ ანჯაფარიძე,კახაბერ,ანჯაფარიძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,2,,,ზურაბ არსოშვილი,ზურაბ,არსოშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,3,,,არმენიკი ბაიანდურიანი,არმენიკი,ბაიანდურიანი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,4,,,რამინ ბაირამოვი,რამინ,ბაირამოვი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,5,,,ვახტანგ ბალავაძე,ვახტანგ,ბალავაძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,6,,,დავით ბაძრაძე,დავით,ბაძრაძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,7,,,გიორგი გაბაშვილი,გიორგი,გაბაშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,8,,,ზაალ გამცემლიძე,ზაალ,გამცემლიძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,9,,,გიორგი გოდაბრელიძე,გიორგი,გოდაბრელიძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,10,,,ხათუნა გოგორიშვილი,ხათუნა,გოგორიშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,11,,,ლაშა დამენია,ლაშა,დამენია
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,12,,,დავით ჯრჩიაშვილი,დავით,ჯრჩიაშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,13,,,მირზა დავითაია,მირზა,დავითაია
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,14,,,თამაზ დიასამიძე,თამაზ,დიასამიძე
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,15,,,მარიკა ვე'ულაშვილი,მარიკა,ვე'ულაშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,16,,,მურთაზ ზოდელავა,მურთაზ,ზოდელავა
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,17,,,ჩიორა თაქთაქიშვილი,ჩიორა,თაქთაქიშვილი
pr,party_list,unm,ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,18,,,გიორგი თარგამაძე,გიორგი,თარგამაძე
