order_id,electoral_district_id,district_name_ka,precinct_number,precinct_id,number_of_voters,reason
1,1,მთაწმინდა,5,1005,1442,საარჩევნო კანონმდებლობის დარღვევა
2,4,კრწანისი,29,4029,1252,საარჩევნო კანონმდებლობის დარღვევა
3,4,კრწანისი,30,4030,1233,საარჩევნო კანონმდებლობის დარღვევა
4,4,კრწანისი,31,4031,1148,საარჩევნო კანონმდებლობის დარღვევა
5,9,ნაძალადევი,41,9041,1497,საარჩევნო კანონმდებლობის დარღვევა
6,10,გლდანი,34,10034,1432,საარჩევნო კანონმდებლობის დარღვევა
7,11,საგარეჯო,37,11037,1384,საარჩევნო კანონმდებლობის დარღვევა
8,11,საგარეჯო,38,11038,1239,საარჩევნო კანონმდებლობის დარღვევა
9,11,საგარეჯო,47,11047,1069,საარჩევნო კანონმდებლობის დარღვევა
10,12,გურჯაანი,6,12006,1628,საარჩევნო კანონმდებლობის დარღვევა
11,13,სიღნაღი,13,13013,1411,საარჩევნო კანონმდებლობის დარღვევა
12,21,გარდაბანი,25,21025,1266,საარჩევნო კანონმდებლობის დარღვევა
13,21,გარდაბანი,58,21058,1516,საარჩევნო კანონმდებლობის დარღვევა
14,21,გარდაბანი,59,21059,1410,საარჩევნო კანონმდებლობის დარღვევა
15,22,მარნეული,13,22013,1433,საარჩევნო კანონმდებლობის დარღვევა
16,22,მარნეული,34,22034,1010,საარჩევნო კანონმდებლობის დარღვევა
17,22,მარნეული,48,22048,1514,საარჩევნო კანონმდებლობის დარღვევა
18,22,მარნეული,50,22050,1355,საარჩევნო კანონმდებლობის დარღვევა
19,22,მარნეული,56,22056,1234,საარჩევნო კანონმდებლობის დარღვევა
20,22,მარნეული,58,22058,1296,საარჩევნო კანონმდებლობის დარღვევა
21,22,მარნეული,71,22071,0,საარჩევნო კანონმდებლობის დარღვევა
22,22,მარნეული,76,22076,1194,საარჩევნო კანონმდებლობის დარღვევა
23,22,მარნეული,79,22079,1360,საარჩევნო კანონმდებლობის დარღვევა
24,25,წალკა,42,25042,514,საარჩევნო კანონმდებლობის დარღვევა
25,25,წალკა,43,25043,347,საარჩევნო კანონმდებლობის დარღვევა
26,27,მცხეთა,17,27017,1494,საარჩევნო კანონმდებლობის დარღვევა
27,27,მცხეთა,18,27018,1157,საარჩევნო კანონმდებლობის დარღვევა
28,32,გორი,32,32032,1646,საარჩევნო კანონმდებლობის დარღვევა
29,32,გორი,48,32048,1737,საარჩევნო კანონმდებლობის დარღვევა
30,32,გორი,58,32058,0,საარჩევნო კანონმდებლობის დარღვევა
31,37,ახალციხე,4,37004,1442,საარჩევნო კანონმდებლობის დარღვევა
32,45,ცაგერი,26,45026,0,საარჩევნო კანონმდებლობის დარღვევა
33,55,ხონი,30,55030,986,საარჩევნო კანონმდებლობის დარღვევა
34,79,ბათუმი,53,79053,1384,საარჩევნო კანონმდებლობის დარღვევა
35,81,ქობულეთი,2,81002,1128,საარჩევნო კანონმდებლობის დარღვევა
36,81,ქობულეთი,15,81015,0,საარჩევნო კანონმდებლობის დარღვევა
37,81,ქობულეთი,43,81043,1378,საარჩევნო კანონმდებლობის დარღვევა
38,83,ხელვაჩაური,38,83038,1441,საარჩევნო კანონმდებლობის დარღვევა
