district_id,ballot_number,party_id,name_ka,candidate_order
68,1,burchuladze,ზვიად ბოლქვაძე,1
68,3,burjanadze_democratic,ლევან ჯინჭარაძე,2
68,5,unm,ელგუჯა ბაგრატიონი,3
68,6,republicans_2016,ზაურ ახვლედიანი,4
68,7,mechiauri_united,მარკელა ჩხაიძე,5
68,8,patriots,ტარიელ მამულაიშვილი,6
68,10,labour,ჯელალ ქიქავა,7
68,14,peace_georgia_2016,რამაზ სურმანიძე,8
68,19,industry_sakartvelo,გიორგი ასათიანი,9
68,26,national_forum,ჯამილა მინჯია,10
68,27,free_democrats,ჯაბა ბერიძე,11
68,32,serve_georgia_2016,ლიანა აბულაძე,12
68,41,gd,ვახტანგ წულაძე,13
69,1,burchuladze,მალხაზ ნაკაშიძე,14
69,3,burjanadze_democratic,დიმიტრი ჭეიშვილი,15
69,5,unm,ნინო ჯინჭარაძე,16
69,6,republicans_2016,დავით ბერძენიშვილი,17
69,7,mechiauri_united,ნუგზარ ქამაშიძე,18
69,8,patriots,მამული ჟღენტი,19
69,10,labour,დარეჯან ალანია,20
69,19,industry_sakartvelo,რომან ჯიქია,21
69,23,chvenni_peoples,მანუჩარ აბაშიძე,22
69,26,national_forum,თინა იმნაძე,23
69,27,free_democrats,კობა ჩხეიძე,24
69,32,serve_georgia_2016,ბიძინა აფხაზავა,25
69,41,gd,ილია ვერძაძე,26
70,1,burchuladze,ბექა დიასამიძე,27
70,3,burjanadze_democratic,შაქრო პაპიძე,28
70,5,unm,გია აბულაძე,29
70,6,republicans_2016,გიორგი მასალკინი,30
70,7,mechiauri_united,ჯემალ მეგრელიძე,31
70,8,patriots,არჩილ მამულაძე,32
70,10,labour,ბესიკ ქორიძე,33
70,19,industry_sakartvelo,ნოდარ მელიქიშვილი,34
70,23,chvenni_peoples,ანზორ დავითაძე,35
70,26,national_forum,ზაალ ჯაფარიძე,36
70,27,free_democrats,არმაზ ბახტაძე,37
70,32,serve_georgia_2016,მედეა ვასაძე,38
70,41,gd,ნუგზარ სურმანიძე,39
71,1,burchuladze,დავით მანელიშვილი,40
71,3,burjanadze_democratic,ხვიჩა გამარჯობაძე,41
71,5,unm,მამული სურმანიძე,42
71,6,republicans_2016,ლევან ხინიკაძე,43
71,7,mechiauri_united,თემურ თხილაიშვილი,44
71,8,patriots,ავთანდილ ხაბაზი,45
71,10,labour,ნანა ინასარიძე,46
71,19,industry_sakartvelo,მამუკა ესელიძე,47
71,23,chvenni_peoples,გოგი გოგიტიძე,48
71,26,national_forum,სოფიო ცეცხლაძე,49
71,27,free_democrats,კახაბერ კაკალაძე,50
71,32,serve_georgia_2016,ნოდარი ხახუტაიშვილი,51
71,41,gd,გიორგი რომანაძე,52
72,1,burchuladze,ჯემალ ბერიძე,53
72,3,burjanadze_democratic,შუქრი ბრუნჯაძე,54
72,5,unm,ქენან კახიძე,55
72,6,republicans_2016,გიორგი რუხაძე,56
72,7,mechiauri_united,რომან სურმანიძე,57
72,8,patriots,ლევან ლორთქიფანიძე,58
72,10,labour,უშანგი ცეცხლაძე,59
72,19,industry_sakartvelo,იამზე შავაძე,60
72,23,chvenni_peoples,დურმიშხან შაინიძე,61
72,26,national_forum,მერაბ აბაშიძე,62
72,27,free_democrats,პაატა ზაქარაძე,63
72,32,serve_georgia_2016,ბიძინა დუმბაძე,64
72,41,gd,მერაბ კარანაძე,65
73,1,burchuladze,დავით გათენაძე,66
73,3,burjanadze_democratic,მამუკა ღორჯომელაძე,67
73,5,unm,ნუგზარ ამაღლობელი,68
73,6,republicans_2016,დემურ მსახურაძე,69
73,7,mechiauri_united,ელგუჯა შავაძე,70
73,8,patriots,გურამ სურმანიძე,71
73,10,labour,ნინო სურმანიძე,72
73,26,national_forum,ნუგზარ ზოსიძე,73
73,27,free_democrats,ოთარ ცეცხლაძე,74
73,32,serve_georgia_2016,მალხაზ ხიმშიაშვილი,75
73,41,gd,ხვიჩა შარაშიძე,76
