self_governing_unit,vote_type,candidate_name,candidate_political_party,majoritarian_district_id
11,sakrebulo smd,ელენე სამხთუაშვილი,ქართული ოცნება,11.08
11,sakrebulo smd,გიორგი ხოსიტაშვილი,ქართული ოცნება,11.09
11,sakrebulo smd,გივი ბედიაშვილი,ქართული ოცნება,11.10
11,sakrebulo smd,ნონა ბუზარიაშვილი,ქართული ოცნება,11.11
11,sakrebulo smd,არჩილ ნემსიაშვილი,ქართული ოცნება,11.12
11,sakrebulo smd,ლევან როსტიაშვილი,ქართული ოცნება,11.13
11,sakrebulo smd,ვალერიანი ხუნაშვილი,ქართული ოცნება,11.14
11,sakrebulo smd,ნიკა ნაცვლიშვილი,ქართული ოცნება,11.15
11,sakrebulo smd,სოსო ჭიკაძე,ქართული ოცნება,11.16
11,sakrebulo smd,კახაბერი ზირაქაშვილი,ქართული ოცნება,11.17
11,sakrebulo smd,ქამრან ალიევი,ქართული ოცნება,11.18
11,sakrebulo smd,მუსტაფა ახმედოვი,ქართული ოცნება,11.19
11,sakrebulo smd,თეიმურ ომაროვი,ქართული ოცნება,11.2
11,sakrebulo smd,ზამინ მამედოვი,ქართული ოცნება,11.21
11,sakrebulo smd,ალექსი იოსელიანი,ქართული ოცნება,11.22
12,sakrebulo pr,ელგუჯა ქათამაძე,ქართული ოცნება,
12,sakrebulo pr,დალი მინდიაშვილი,ქართული ოცნება,
12,sakrebulo pr,ილია საყვარლიშვილი,ქართული ოცნება,
12,sakrebulo pr,თამარ ცანკაშვილი,ქართული ოცნება,
12,sakrebulo pr,გიორგი დვალი,ქართული ოცნება,
12,sakrebulo pr,ნანა რამაზაშვილი,ქართული ოცნება,
12,sakrebulo pr,ლელა თევდორაშვილი,ქართული ოცნება,
12,sakrebulo pr,თამაზი შიშნიაშვილი,ქართული ოცნება,
12,sakrebulo pr,მარიამი სირბილაშვილი,ქართული ოცნება,
12,sakrebulo pr,გელა ზაკალაშვილი,ქართული ოცნება,
12,sakrebulo pr,ბექა სონღულაშვილი,ქართული ოცნება,
12,sakrebulo pr,ავთანდილი საგინაშვილი,ქართული ოცნება,
12,sakrebulo pr,ივანე ბაციაშვილი,ქართული ოცნება,
12,sakrebulo pr,ირაკლი შაშიაშვილი,ქართული ოცნება,
12,sakrebulo pr,არჩილი ხელაშვილი,ძლიერი საქართველო-ლელო,
12,sakrebulo smd,ნაირა სეხნიაშვილი,ქართული ოცნება,12.01
12,sakrebulo smd,რამაზი უტიაშვილი,ქართული ოცნება,12.02
12,sakrebulo smd,ლერი ჩხეტიანი,ქართული ოცნება,12.03
