party_id,name_en,name_ka,type,color,in_registry,election_yaml_count,result_csv_count,candidate_csv_count,elections_count,elections,source_kinds,aliases_en,aliases_ka,yaml_files,sample_result_files,sample_candidate_files
adj2008_chven_tviton,,,,#00897B,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,We Ourselves,ჩვენ თვითონ,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_georgian_politics,,,,#546E7A,no,1,2,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,Georgian Politics,ქართული პოლიტიკა,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_kartuli_dasi,,,,#33691E,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,Georgian Group,ქართული დასი,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_united_communist,,,,#B71C1C,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,United Communist Party of Georgia,საქართველოს ერთიანი კომუნისტური პარტია,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
akaki_asatiani_2013,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
alliance_georgia_2010,,,,#1565C0,no,1,7,2,1,local_2010,candidate_csv|election_yaml_parties|result_csv,Alliance for Georgia,ალიანსი საქართველოსთვის,src/data/config/elections/local/local_2010.yml,src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv|src/data/results/local2010_seats.csv|src/data/results/local2010_smd.csv|src/data/results/local2010_smd_districts.csv|src/data/results/local2010_smd_precincts.csv,src/data/candidates/local2010_mayor_candidates.csv|src/data/candidates/local2010_smd_candidates.csv
andriadze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
asatiani,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
avtandil_margiani,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
baghdavadze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
bakradze,,,,,no,0,4,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv|src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,src/data/candidates/pres2013_candidates.csv
burjanadze_united_opposition_2014,,,,#7B1FA2,no,1,11,4,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Nino Burjanadze - United Opposition,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_r2_smd.csv|src/data/results/local2014_r2_smd_precincts.csv|src/data/results/local2014_seats.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
chichinadze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
chkheidze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
christian_democratic_alliance_2008,,,,#00897B,no,1,4,2,1,parl_2008,candidate_csv|election_yaml_parties|result_csv,Christian-Democratic Alliance,ქრისტიანულ-დემოკრატიული ალიანსი,src/data/config/elections/parliamentary/parl_2008.yml,src/data/results/parl2008_pr.csv|src/data/results/parl2008_pr_precincts.csv|src/data/results/parl2008_smd.csv|src/data/results/parl2008_smd_precincts.csv,src/data/candidates/parl2008_party_lists.csv|src/data/candidates/parl2008_smd_candidates.csv
christian_democrats_2008,,,,#6D4C41,no,2,8,5,2,adj_2008|parl_2008,candidate_csv|election_yaml_parties|result_csv,Giorgi Targamadze - Christian Democrats,გიორგი თარგამაძე - ქრისტიან-დემოკრატები,src/data/config/elections/adjara/adj_2008.yml|src/data/config/elections/parliamentary/parl_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv|src/data/results/parl2008_pr.csv|src/data/results/parl2008_pr_precincts.csv|src/data/results/parl2008_smd.csv|src/data/results/parl2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv|src/data/candidates/parl2008_elected.csv|src/data/candidates/parl2008_party_lists.csv|src/data/candidates/parl2008_smd_candidates.csv
christian_democrats_2010,,,,#6D4C41,no,1,9,2,1,local_2010,candidate_csv|election_yaml_parties|result_csv,"Giorgi Targamadze, Inga Grigolia - Christian-Democratic Union","გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება",src/data/config/elections/local/local_2010.yml,src/data/results/local2010_council_smd.csv|src/data/results/local2010_council_smd_precincts.csv|src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv|src/data/results/local2010_seats.csv|src/data/results/local2010_smd.csv|src/data/results/local2010_smd_districts.csv,src/data/candidates/local2010_mayor_candidates.csv|src/data/candidates/local2010_smd_candidates.csv
christian_democrats_2012,,,,#6D4C41,no,1,4,2,1,parl_2012,candidate_csv|election_yaml_parties|result_csv,Giorgi Targamadze - Christian-Democratic Movement,გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება,src/data/config/elections/parliamentary/parl_2012.yml,src/data/results/parl2012_pr.csv|src/data/results/parl2012_pr_precincts.csv|src/data/results/parl2012_smd.csv|src/data/results/parl2012_smd_precincts.csv,src/data/candidates/parl2012_party_lists.csv|src/data/candidates/parl2012_smd_candidates.csv
christian_democrats_2014,,,,#F9A825,no,1,9,4,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Christian Democratic Party,ქრისტიან დემოკრატიული პარტია (ქრისტიან დემოკრატები),src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_seats.csv|src/data/results/local2014_smd.csv|src/data/results/local2014_smd_districts.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
fair_georgia_2012,,,,#6A1B9A,no,1,4,2,1,parl_2012,candidate_csv|election_yaml_parties|result_csv,For a Fair Georgia,სამართლიანი საქართველოსთვის,src/data/config/elections/parliamentary/parl_2012.yml,src/data/results/parl2012_pr.csv|src/data/results/parl2012_pr_precincts.csv|src/data/results/parl2012_smd.csv|src/data/results/parl2012_smd_precincts.csv,src/data/candidates/parl2012_party_lists.csv|src/data/candidates/parl2012_smd_candidates.csv
freedom_2010,,,,#00897B,no,1,6,1,1,local_2010,candidate_csv|election_yaml_parties|result_csv,Freedom,თავისუფლება,src/data/config/elections/local/local_2010.yml,src/data/results/local2010_council_smd.csv|src/data/results/local2010_council_smd_precincts.csv|src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv|src/data/results/local2010_seats.csv,src/data/candidates/local2010_smd_candidates.csv
freedom_zviads_way_2014,,,,#558B2F,no,1,6,3,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Freedom - Zviad Gamsakhurdia's Way,თავისუფლება - ზვიად გამსახურდიას გზა,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_seats.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
future_georgia_2014,,,,#6D4C41,no,1,8,2,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Future Georgia,მომავალი საქართველო,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_smd.csv|src/data/results/local2014_smd_districts.csv|src/data/results/local2014_smd_precincts.csv,src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_smd_candidates.csv
future_party_2010,,,,#455A64,no,1,5,1,1,local_2010,candidate_csv|election_yaml_parties|result_csv,Future Party,მომავლის პარტია,src/data/config/elections/local/local_2010.yml,src/data/results/local2010_council_smd.csv|src/data/results/local2010_council_smd_precincts.csv|src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv,src/data/candidates/local2010_smd_candidates.csv
gabunia,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
gachechiladze,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2008.csv|src/data/results/pres2008_precincts.csv,src/data/candidates/pres2008_candidates.csv
gamkrelidze,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2008.csv|src/data/results/pres2008_precincts.csv,src/data/candidates/pres2008_candidates.csv
georgian_party_2014,,,,#D55E00,no,1,11,4,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Irakli Okruashvili - Georgian Party,ირაკლი ოქრუაშვილი - ქართული პარტია,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_r2_smd.csv|src/data/results/local2014_r2_smd_precincts.csv|src/data/results/local2014_seats.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
georgian_politics_2008,,,,#546E7A,no,1,4,2,1,parl_2008,candidate_csv|election_yaml_parties|result_csv,Georgian Politics,ქართული პოლიტიკა,src/data/config/elections/parliamentary/parl_2008.yml,src/data/results/parl2008_pr.csv|src/data/results/parl2008_pr_precincts.csv|src/data/results/parl2008_smd.csv|src/data/results/parl2008_smd_precincts.csv,src/data/candidates/parl2008_party_lists.csv|src/data/candidates/parl2008_smd_candidates.csv
georgias_way_2014,,,,#00ACC1,no,1,11,4,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Salome Zourabichvili - Georgia's Way,სალომე ზურაბიშვილი - საქართველოს გზა,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_r2_smd.csv|src/data/results/local2014_r2_smd_precincts.csv|src/data/results/local2014_seats.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
giorgi_chikhladze,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
giorgi_liluashvili_2013,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
giorgi_margvelashvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
giorgi_targamadze,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
gorgadze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
greens_2014,,,,#43A047,no,1,11,4,1,local_2014,candidate_csv|election_yaml_parties|result_csv,Giorgi Gachechiladze - Green Party,გიორგი გაჩეჩილაძე - მწვანეთა პარტია,src/data/config/elections/local/local_2014.yml,src/data/results/local2014_council_smd.csv|src/data/results/local2014_council_smd_precincts.csv|src/data/results/local2014_pr.csv|src/data/results/local2014_pr_precincts.csv|src/data/results/local2014_pr_selfgov.csv|src/data/results/local2014_r2_smd.csv|src/data/results/local2014_r2_smd_precincts.csv|src/data/results/local2014_seats.csv,src/data/candidates/local2014_elected.csv|src/data/candidates/local2014_mayor_gamgebeli_candidates.csv|src/data/candidates/local2014_party_lists.csv|src/data/candidates/local2014_smd_candidates.csv
iashvili,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
independent_10,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_2,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_3,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_4,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_5,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_6,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_7,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
independent_8,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,
