party_id,name_en,name_ka,type,color,in_registry,election_yaml_count,result_csv_count,candidate_csv_count,elections_count,elections,source_kinds,aliases_en,aliases_ka,yaml_files,sample_result_files,sample_candidate_files
ivanishvili_peoples_democrats_2010,,,,#8D6E63,no,1,8,2,1,local_2010,candidate_csv|election_yaml_parties|result_csv,Ivanishvili - People's Democrats,ივანიშვილი – სახალხო დემოკრატები,src/data/config/elections/local/local_2010.yml,src/data/results/local2010_council_smd.csv|src/data/results/local2010_council_smd_precincts.csv|src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv|src/data/results/local2010_smd.csv|src/data/results/local2010_smd_districts.csv|src/data/results/local2010_smd_precincts.csv,src/data/candidates/local2010_mayor_candidates.csv|src/data/candidates/local2010_smd_candidates.csv
japaridze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
kartlos_gharibashvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
khutsishvili,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
koba_davitashvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
kukava,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
levan_chachua,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
liluashvili,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
maisashvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2008.csv|src/data/results/pres2008_precincts.csv,src/data/candidates/pres2008_candidates.csv
major54_2018_17,,,,#8D6E63,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Giorgi Liluashvili,გიორგი ლილუაშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
major54_2018_2,,,,#C62828,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Giorgi Ugulava,გიორგი უგულავა,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
major54_2018_21,,,,#78909C,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Zurab Kartvelishvili,ზურაბ ქართველიშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
major54_2018_23,,,,#5C6BC0,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Mamuka Tuskadze,მამუკა ტუსკაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
major54_2018_41,,,,#1565C0,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Givi Chichinadze,გივი ჭიჭინაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
major54_2018_42,,,,#43A047,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Vasil Kopaliani,ვასილ კოპალიანი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_major54_2018_smd.csv|src/data/results/parl2016_major54_2018_smd_precincts.csv,
